timestamp_utc,seq,gap,frame_ok,payload_bytes,frame_bytes,frame_bits,qpsk_symbols,ofdm_symbols,pad_q,tx_samples,fft_samples,cp_samples,pilot_bins,compact_payload
2026-08-11T14:24:40.717732+00:00,0,0,1,63,67,536,268,6,20,480,384,96,24,"bss,seq=00000,v_mv=03835,i_ma=+00233,p_mw=+00895,st=chg,src=ina"
2026-08-11T14:24:41.051509+00:00,1,0,1,63,67,536,268,6,20,480,384,96,24,"bss,seq=00001,v_mv=03838,i_ma=+00234,p_mw=+00897,st=chg,src=ina"
2026-08-11T14:24:41.259372+00:00,2,0,1,63,67,536,268,6,20,480,384,96,24,"bss,seq=00002,v_mv=03836,i_ma=+00234,p_mw=+00897,st=chg,src=ina"
2026-08-11T14:24:41.472170+00:00,3,0,1,63,67,536,268,6,20,480,384,96,24,"bss,seq=00003,v_mv=03836,i_ma=+00234,p_mw=+00899,st=chg,src=ina"
2026-08-11T14:24:41.726329+00:00,4,0,1,63,67,536,268,6,20,480,384,96,24,"bss,seq=00004,v_mv=03837,i_ma=+00234,p_mw=+00899,st=chg,src=ina"
2026-08-11T14:24:42.073761+00:00,5,0,1,63,67,536,268,6,20,480,384,96,24,"bss,seq=00005,v_mv=03837,i_ma=+00235,p_mw=+00901,st=chg,src=ina"
2026-08-11T14:24:42.279398+00:00,6,0,1,63,67,536,268,6,20,480,384,96,24,"bss,seq=00006,v_mv=03838,i_ma=+00235,p_mw=+00901,st=chg,src=ina"
2026-08-11T14:24:42.490331+00:00,7,0,1,63,67,536,268,6,20,480,384,96,24,"bss,seq=00007,v_mv=03837,i_ma=+00234,p_mw=+00899,st=chg,src=ina"
2026-08-11T14:24:42.732894+00:00,8,0,1,63,67,536,268,6,20,480,384,96,24,"bss,seq=00008,v_mv=03840,i_ma=+00235,p_mw=+00901,st=chg,src=ina"
2026-08-11T14:24:42.978124+00:00,9,0,1,63,67,536,268,6,20,480,384,96,24,"bss,seq=00009,v_mv=03840,i_ma=+00235,p_mw=+00902,st=chg,src=ina"
2026-08-11T14:24:43.229094+00:00,10,0,1,63,67,536,268,6,20,480,384,96,24,"bss,seq=00010,v_mv=03837,i_ma=+00234,p_mw=+00898,st=chg,src=ina"
2026-08-11T14:24:43.484456+00:00,11,0,1,63,67,536,268,6,20,480,384,96,24,"bss,seq=00011,v_mv=03835,i_ma=+00234,p_mw=+00897,st=chg,src=ina"
2026-08-11T14:24:43.734122+00:00,12,0,1,63,67,536,268,6,20,480,384,96,24,"bss,seq=00012,v_mv=03838,i_ma=+00234,p_mw=+00898,st=chg,src=ina"
2026-08-11T14:24:43.986738+00:00,13,0,1,63,67,536,268,6,20,480,384,96,24,"bss,seq=00013,v_mv=03840,i_ma=+00234,p_mw=+00898,st=chg,src=ina"
2026-08-11T14:24:44.328147+00:00,14,0,1,63,67,536,268,6,20,480,384,96,24,"bss,seq=00014,v_mv=03838,i_ma=+00235,p_mw=+00900,st=chg,src=ina"
2026-08-11T14:24:44.531892+00:00,15,0,1,63,67,536,268,6,20,480,384,96,24,"bss,seq=00015,v_mv=03838,i_ma=+00234,p_mw=+00899,st=chg,src=ina"
2026-08-11T14:24:44.741424+00:00,16,0,1,63,67,536,268,6,20,480,384,96,24,"bss,seq=00016,v_mv=03838,i_ma=+00235,p_mw=+00901,st=chg,src=ina"
