symbol_index,bit0,bit1,i,q,decoded_bit0,decoded_bit1
0,1,0,1,-1,1,0
1,1,0,1,-1,1,0
2,0,0,1,1,0,0
3,1,0,1,-1,1,0
4,0,0,1,1,0,0
5,0,1,-1,1,0,1
6,1,0,1,-1,1,0
7,0,0,1,1,0,0
8,1,0,1,-1,1,0
9,0,0,1,1,0,0
10,0,1,-1,1,0,1
11,0,0,1,1,0,0
12,0,0,1,1,0,0
13,1,1,-1,-1,1,1
14,0,0,1,1,0,0
15,1,0,1,-1,1,0
16,0,0,1,1,0,0
17,1,0,1,-1,1,0
18,0,0,1,1,0,0
19,0,1,-1,1,0,1
20,1,1,-1,-1,1,1
21,1,1,-1,-1,1,1
22,1,1,-1,-1,1,1
23,0,0,1,1,0,0
24,0,0,1,1,0,0
25,1,1,-1,-1,1,1
26,1,1,-1,-1,1,1
27,1,0,1,-1,1,0
28,0,1,-1,1,0,1
29,0,1,-1,1,0,1
30,0,1,-1,1,0,1
31,1,0,1,-1,1,0
32,0,1,-1,1,0,1
33,1,1,-1,-1,1,1
34,1,1,-1,-1,1,1
35,0,0,1,1,0,0
36,1,1,-1,-1,1,1
37,0,0,1,1,0,0
38,1,1,-1,-1,1,1
39,1,1,-1,-1,1,1
40,1,0,1,-1,1,0
41,1,1,-1,-1,1,1
42,0,0,1,1,0,0
43,1,0,1,-1,1,0
44,0,1,-1,1,0,1
45,0,0,1,1,0,0
46,1,1,-1,-1,1,1
47,1,0,1,-1,1,0
48,0,1,-1,1,0,1
49,1,1,-1,-1,1,1
50,0,1,-1,1,0,1
51,1,1,-1,-1,1,1
52,1,1,-1,-1,1,1
53,0,0,1,1,0,0
54,0,0,1,1,0,0
55,0,0,1,1,0,0
56,0,0,1,1,0,0
57,1,0,1,-1,1,0
58,1,1,-1,-1,1,1
59,0,0,1,1,0,0
60,1,1,-1,-1,1,1
61,1,0,1,-1,1,0
62,0,1,-1,1,0,1
63,1,1,-1,-1,1,1
