timestamp_utc,seq,gap,frame_ok,payload_bytes,frame_bytes,frame_bits,qpsk_symbols,ofdm_symbols,pad_q,tx_samples,fft_samples,cp_samples,pilot_bins,compact_payload
2026-08-06T07:52:44.514850+00:00,0,0,1,129,133,1064,532,12,44,960,768,192,48,"trk,seq=00000,pan=090.0,tilt=092.2,sun_pan=090.0,sun_tilt=102.4,err=010.1,st=seek,v_mv=00000,i_ma=00000,p_mw=00000,src=ina,act=hw"
2026-08-06T07:52:44.762446+00:00,1,0,1,129,133,1064,532,12,44,960,768,192,48,"trk,seq=00001,pan=090.1,tilt=094.1,sun_pan=091.0,sun_tilt=102.6,err=008.5,st=lock,v_mv=00002,i_ma=00000,p_mw=00000,src=ina,act=hw"
2026-08-06T07:52:45.015265+00:00,2,0,1,129,133,1064,532,12,44,960,768,192,48,"trk,seq=00002,pan=090.4,tilt=095.7,sun_pan=091.9,sun_tilt=102.8,err=007.3,st=lock,v_mv=00000,i_ma=00000,p_mw=00000,src=ina,act=hw"
2026-08-06T07:52:45.267917+00:00,3,0,1,129,133,1064,532,12,44,960,768,192,48,"trk,seq=00003,pan=090.7,tilt=097.0,sun_pan=092.9,sun_tilt=103.0,err=006.4,st=lock,v_mv=00000,i_ma=00000,p_mw=00000,src=ina,act=hw"
2026-08-06T07:52:45.610206+00:00,4,0,1,129,133,1064,532,12,44,960,768,192,48,"trk,seq=00004,pan=091.2,tilt=098.1,sun_pan=093.8,sun_tilt=103.2,err=005.8,st=lock,v_mv=00001,i_ma=00000,p_mw=00000,src=ina,act=hw"
2026-08-06T07:52:45.815267+00:00,5,0,1,129,133,1064,532,12,44,960,768,192,48,"trk,seq=00005,pan=091.7,tilt=099.1,sun_pan=094.8,sun_tilt=103.5,err=005.4,st=lock,v_mv=00000,i_ma=00000,p_mw=00000,src=ina,act=hw"
2026-08-06T07:52:46.024411+00:00,6,0,1,129,133,1064,532,12,44,960,768,192,48,"trk,seq=00006,pan=092.2,tilt=099.9,sun_pan=095.7,sun_tilt=103.7,err=005.1,st=lock,v_mv=00001,i_ma=00000,p_mw=00000,src=ina,act=hw"
2026-08-06T07:52:46.278819+00:00,7,0,1,129,133,1064,532,12,44,960,768,192,48,"trk,seq=00007,pan=092.9,tilt=100.0,sun_pan=096.7,sun_tilt=103.9,err=005.4,st=lock,v_mv=00002,i_ma=00000,p_mw=00000,src=ina,act=hw"
2026-08-06T07:52:46.636398+00:00,8,0,1,129,133,1064,532,12,44,960,768,192,48,"trk,seq=00008,pan=093.5,tilt=100.0,sun_pan=097.6,sun_tilt=104.1,err=005.8,st=lock,v_mv=00001,i_ma=00000,p_mw=00000,src=ina,act=hw"
2026-08-06T07:52:46.783330+00:00,9,0,1,129,133,1064,532,12,44,960,768,192,48,"trk,seq=00009,pan=094.2,tilt=100.0,sun_pan=098.5,sun_tilt=104.3,err=006.1,st=lock,v_mv=00000,i_ma=00000,p_mw=00000,src=ina,act=hw"
2026-08-06T07:52:47.036649+00:00,10,0,1,129,133,1064,532,12,44,960,768,192,48,"trk,seq=00010,pan=095.0,tilt=100.0,sun_pan=099.5,sun_tilt=104.5,err=006.3,st=lock,v_mv=00001,i_ma=00000,p_mw=00000,src=ina,act=hw"
2026-08-06T07:52:47.289935+00:00,11,0,1,129,133,1064,532,12,44,960,768,192,48,"trk,seq=00011,pan=095.7,tilt=100.0,sun_pan=100.4,sun_tilt=104.6,err=006.6,st=lock,v_mv=00000,i_ma=00000,p_mw=00000,src=ina,act=hw"
2026-08-06T07:52:47.541078+00:00,12,0,1,129,133,1064,532,12,44,960,768,192,48,"trk,seq=00012,pan=096.5,tilt=100.0,sun_pan=101.3,sun_tilt=104.8,err=006.8,st=lock,v_mv=00001,i_ma=00000,p_mw=00000,src=ina,act=hw"
2026-08-06T07:52:47.797572+00:00,13,0,1,129,133,1064,532,12,44,960,768,192,48,"trk,seq=00013,pan=097.3,tilt=100.0,sun_pan=102.2,sun_tilt=105.0,err=007.0,st=lock,v_mv=00001,i_ma=00000,p_mw=00000,src=ina,act=hw"
2026-08-06T07:52:48.047401+00:00,14,0,1,129,133,1064,532,12,44,960,768,192,48,"trk,seq=00014,pan=098.1,tilt=100.0,sun_pan=103.1,sun_tilt=105.2,err=007.2,st=lock,v_mv=00000,i_ma=00000,p_mw=00000,src=ina,act=hw"
2026-08-06T07:52:48.299877+00:00,15,0,1,129,133,1064,532,12,44,960,768,192,48,"trk,seq=00015,pan=099.0,tilt=100.0,sun_pan=104.0,sun_tilt=105.3,err=007.4,st=lock,v_mv=00002,i_ma=00000,p_mw=00000,src=ina,act=hw"
2026-08-06T07:52:48.553276+00:00,16,0,1,129,133,1064,532,12,44,960,768,192,48,"trk,seq=00016,pan=099.8,tilt=100.0,sun_pan=104.9,sun_tilt=105.5,err=007.5,st=lock,v_mv=00001,i_ma=00000,p_mw=00000,src=ina,act=hw"
2026-08-06T07:52:48.803925+00:00,17,0,1,129,133,1064,532,12,44,960,768,192,48,"trk,seq=00017,pan=100.6,tilt=100.0,sun_pan=105.8,sun_tilt=105.7,err=007.7,st=lock,v_mv=00000,i_ma=00000,p_mw=00000,src=ina,act=hw"
