metric,value
tracker_rows,60
tracker_valid_rows,60
tracker_sequence_gaps,0
tracker_duration_seconds,29.5
tracking_locked_rows,14
tracking_locked_pct,23.3
tracking_under_10deg_rows,35
tracking_error_first_deg,56.539
tracking_error_last_deg,0.391
tracking_error_reduction_deg,56.148
tracking_error_best_deg,0.027
tracking_error_best_seq,36
tracking_error_min_deg,0.027
tracking_error_max_deg,56.539
tracking_error_avg_deg,15.859
power_max_mw,0.007
power_avg_mw,0.005
pan_min_deg,42.000
pan_max_deg,90.000
tilt_min_deg,55.237
tilt_max_deg,90.000
bridge_rows,60
bridge_frame_ok_rows,60
bridge_sequence_gaps,0
payload_bytes,129
frame_bytes,133
frame_bits,1064
qpsk_symbols,532
ofdm_symbols,12
qpsk_pad_symbols,44
ofdm_tx_samples,960
ofdm_cp_samples,192
ofdm_pilot_bins,48
ab_fixed_mean_power_mw,0.009
ab_tracking_mean_power_mw,0.011
ab_fixed_energy_mwh,0.000144
ab_tracking_energy_mwh,0.000179
ab_tracking_locked_pct,82.301
ab_power_gain_pct,24.141
ab_energy_gain_pct,24.229
fault_valid_rows,120
fault_sequence_gaps,0
fault_learning_first_seq,30
fault_ok_first_seq,40
fault_shading_first_seq,61
fault_shading_rows,15
fault_recovery_seq,78
fault_recovered,yes
