received_utc,valid,error,seq_gap,seq,d_pct,v_mv,i_ma,p_mw,mppt,fault,fault_label,fault_reason,fault_severity,chk,computed_chk,bess_soc_pct,bess_power_w,bess_load_w,bess_state,bess_energy_wh,bess_capacity_wh,tracker_state,tracker_pan_deg,tracker_tilt_deg,tracker_sun_pan_deg,tracker_sun_tilt_deg,tracker_error_deg,tracker_servo_enabled,vision_mode,vision_detected,vision_confidence,vision_target_x_px,vision_target_y_px,vision_x_error,vision_y_error,vision_frame_w,vision_frame_h,vision_brightness_max,vision_area_px,comm_layer,comm_frame_ok,comm_bridge_gap,comm_payload_bytes,comm_frame_bytes,comm_frame_bits,comm_qpsk_symbols,comm_ofdm_symbols,comm_pad_q,comm_tx_samples,comm_cp_samples,comm_pilot_bins,comm_status_line,raw_line,source_label
2026-08-11T14:08:43.936340+00:00,1,,0,0,0,394.291,-0.175,-0.069,bess,0,OK,No protection flag active for this sensor-only test.,normal,,,55.0,-6.9e-05,6.9e-05,idle,5.0875,9.25,,,,,,,,,,,,,,,,,,,CRC/QPSK/OFDM,1,0,63,67,536,268,6,20,480,96,24,"p1br,seq=00000,frame_b=00067,bits=00536,qpsk=00268,ofdm=006,pad_q=00020,gap=0,ok=1","bess,seq=00000,v_mv=394.291,i_ma=-0.175,p_mw=-0.069,shunt_uv=-17.500",Orin real INA226 battery BESS
2026-08-11T14:08:44.187466+00:00,1,,0,1,0,395.479,-0.15,-0.059,bess,0,OK,No protection flag active for this sensor-only test.,normal,,,55.0,-5.9e-05,5.9e-05,idle,5.0875,9.25,,,,,,,,,,,,,,,,,,,CRC/QPSK/OFDM,1,0,63,67,536,268,6,20,480,96,24,"p1br,seq=00001,frame_b=00067,bits=00536,qpsk=00268,ofdm=006,pad_q=00020,gap=0,ok=1","bess,seq=00001,v_mv=395.479,i_ma=-0.150,p_mw=-0.059,shunt_uv=-15.000",Orin real INA226 battery BESS
2026-08-11T14:08:44.439162+00:00,1,,0,2,0,395.479,-0.2,-0.079,bess,0,OK,No protection flag active for this sensor-only test.,normal,,,55.0,-7.9e-05,7.9e-05,idle,5.0875,9.25,,,,,,,,,,,,,,,,,,,CRC/QPSK/OFDM,1,0,63,67,536,268,6,20,480,96,24,"p1br,seq=00002,frame_b=00067,bits=00536,qpsk=00268,ofdm=006,pad_q=00020,gap=0,ok=1","bess,seq=00002,v_mv=395.479,i_ma=-0.200,p_mw=-0.079,shunt_uv=-20.000",Orin real INA226 battery BESS
2026-08-11T14:08:44.686511+00:00,1,,0,3,0,393.104,-0.15,-0.059,bess,0,OK,No protection flag active for this sensor-only test.,normal,,,55.0,-5.9e-05,5.9e-05,idle,5.0875,9.25,,,,,,,,,,,,,,,,,,,CRC/QPSK/OFDM,1,0,63,67,536,268,6,20,480,96,24,"p1br,seq=00003,frame_b=00067,bits=00536,qpsk=00268,ofdm=006,pad_q=00020,gap=0,ok=1","bess,seq=00003,v_mv=393.104,i_ma=-0.150,p_mw=-0.059,shunt_uv=-15.000",Orin real INA226 battery BESS
2026-08-11T14:08:44.939074+00:00,1,,0,4,0,393.104,-0.175,-0.069,bess,0,OK,No protection flag active for this sensor-only test.,normal,,,55.0,-6.9e-05,6.9e-05,idle,5.0875,9.25,,,,,,,,,,,,,,,,,,,CRC/QPSK/OFDM,1,0,63,67,536,268,6,20,480,96,24,"p1br,seq=00004,frame_b=00067,bits=00536,qpsk=00268,ofdm=006,pad_q=00020,gap=0,ok=1","bess,seq=00004,v_mv=393.104,i_ma=-0.175,p_mw=-0.069,shunt_uv=-17.500",Orin real INA226 battery BESS
2026-08-11T14:08:45.186955+00:00,1,,0,5,0,394.291,-0.15,-0.059,bess,0,OK,No protection flag active for this sensor-only test.,normal,,,55.0,-5.9e-05,5.9e-05,idle,5.0875,9.25,,,,,,,,,,,,,,,,,,,CRC/QPSK/OFDM,1,0,63,67,536,268,6,20,480,96,24,"p1br,seq=00005,frame_b=00067,bits=00536,qpsk=00268,ofdm=006,pad_q=00020,gap=0,ok=1","bess,seq=00005,v_mv=394.291,i_ma=-0.150,p_mw=-0.059,shunt_uv=-15.000",Orin real INA226 battery BESS
2026-08-11T14:08:45.437971+00:00,1,,0,6,0,395.479,-0.175,-0.069,bess,0,OK,No protection flag active for this sensor-only test.,normal,,,55.0,-6.9e-05,6.9e-05,idle,5.0875,9.25,,,,,,,,,,,,,,,,,,,CRC/QPSK/OFDM,1,0,63,67,536,268,6,20,480,96,24,"p1br,seq=00006,frame_b=00067,bits=00536,qpsk=00268,ofdm=006,pad_q=00020,gap=0,ok=1","bess,seq=00006,v_mv=395.479,i_ma=-0.175,p_mw=-0.069,shunt_uv=-17.500",Orin real INA226 battery BESS
2026-08-11T14:08:45.689543+00:00,1,,0,7,0,393.104,-0.15,-0.059,bess,0,OK,No protection flag active for this sensor-only test.,normal,,,55.0,-5.9e-05,5.9e-05,idle,5.0875,9.25,,,,,,,,,,,,,,,,,,,CRC/QPSK/OFDM,1,0,63,67,536,268,6,20,480,96,24,"p1br,seq=00007,frame_b=00067,bits=00536,qpsk=00268,ofdm=006,pad_q=00020,gap=0,ok=1","bess,seq=00007,v_mv=393.104,i_ma=-0.150,p_mw=-0.059,shunt_uv=-15.000",Orin real INA226 battery BESS
2026-08-11T14:08:45.944692+00:00,1,,0,8,0,394.291,-0.175,-0.069,bess,0,OK,No protection flag active for this sensor-only test.,normal,,,55.0,-6.9e-05,6.9e-05,idle,5.0875,9.25,,,,,,,,,,,,,,,,,,,CRC/QPSK/OFDM,1,0,63,67,536,268,6,20,480,96,24,"p1br,seq=00008,frame_b=00067,bits=00536,qpsk=00268,ofdm=006,pad_q=00020,gap=0,ok=1","bess,seq=00008,v_mv=394.291,i_ma=-0.175,p_mw=-0.069,shunt_uv=-17.500",Orin real INA226 battery BESS
2026-08-11T14:08:46.195620+00:00,1,,0,9,0,395.479,-0.175,-0.069,bess,0,OK,No protection flag active for this sensor-only test.,normal,,,55.0,-6.9e-05,6.9e-05,idle,5.0875,9.25,,,,,,,,,,,,,,,,,,,CRC/QPSK/OFDM,1,0,63,67,536,268,6,20,480,96,24,"p1br,seq=00009,frame_b=00067,bits=00536,qpsk=00268,ofdm=006,pad_q=00020,gap=0,ok=1","bess,seq=00009,v_mv=395.479,i_ma=-0.175,p_mw=-0.069,shunt_uv=-17.500",Orin real INA226 battery BESS
