received_utc,valid,error,seq_gap,seq,d_pct,v_mv,i_ma,p_mw,mppt,fault,chk,computed_chk,bess_soc_pct,bess_power_w,bess_load_w,bess_state,bess_energy_wh,bess_capacity_wh,tracker_state,tracker_pan_deg,tracker_tilt_deg,tracker_sun_pan_deg,tracker_sun_tilt_deg,tracker_error_deg,tracker_servo_enabled,comm_layer,comm_frame_ok,comm_bridge_gap,comm_payload_bytes,comm_frame_bytes,comm_frame_bits,comm_qpsk_symbols,comm_ofdm_symbols,comm_pad_q,comm_tx_samples,comm_cp_samples,comm_pilot_bins,comm_status_line,raw_line,source_label
2026-08-05T09:28:41.623712+00:00,1,,0,0,50,0.0,-0.075,-0.0,trk,0,,,55.0,-0.1,0.1,discharging,27.5,50.0,seeking,90.0,91.142,90.003,102.348,11.206,0,CRC/QPSK/OFDM,1,0,129,133,1064,532,12,44,960,192,48,"p1br,seq=00000,frame_b=00133,bits=01064,qpsk=00532,ofdm=012,pad_q=00044,gap=0,ok=1","trk,seq=00000,pan=090.00,tilt=091.14,sun_pan=090.00,sun_tilt=102.35,err=11.21,state=seeking,ldr=4073/4073/3587/3587",Orin software solar tracker
2026-08-05T09:28:42.716243+00:00,1,,0,1,50,1.25,-0.075,-0.0,trk,0,,,55.0,-0.1,0.1,discharging,27.5,50.0,seeking,90.239,92.232,93.775,103.231,11.554,0,CRC/QPSK/OFDM,1,0,129,133,1064,532,12,44,960,192,48,"p1br,seq=00001,frame_b=00133,bits=01064,qpsk=00532,ofdm=012,pad_q=00044,gap=0,ok=1","trk,seq=00001,pan=090.24,tilt=092.23,sun_pan=093.78,sun_tilt=103.23,err=11.55,state=seeking,ldr=4007/4095/3531/3646",Orin software solar tracker
2026-08-05T09:28:43.743335+00:00,1,,0,2,51,0.0,-0.05,-0.0,trk,0,,,55.0,-0.1,0.1,discharging,27.4999,50.0,seeking,90.694,93.26,97.517,104.049,12.765,0,CRC/QPSK/OFDM,1,0,129,133,1064,532,12,44,960,192,48,"p1br,seq=00002,frame_b=00133,bits=01064,qpsk=00532,ofdm=012,pad_q=00044,gap=0,ok=1","trk,seq=00002,pan=090.69,tilt=093.26,sun_pan=097.52,sun_tilt=104.05,err=12.76,state=seeking,ldr=3933/4095/3469/3691",Orin software solar tracker
2026-08-05T09:28:44.626908+00:00,1,,0,3,51,1.25,-0.1,-0.0,trk,0,,,55.0,-0.1,0.1,discharging,27.4999,50.0,seeking,91.36,94.242,101.199,104.797,14.429,0,CRC/QPSK/OFDM,1,0,129,133,1064,532,12,44,960,192,48,"p1br,seq=00003,frame_b=00133,bits=01064,qpsk=00532,ofdm=012,pad_q=00044,gap=0,ok=1","trk,seq=00003,pan=091.36,tilt=094.24,sun_pan=101.20,sun_tilt=104.80,err=14.43,state=seeking,ldr=3855/4095/3405/3723",Orin software solar tracker
2026-08-05T09:28:45.662214+00:00,1,,0,4,52,1.25,-0.1,-0.0,trk,0,,,55.0,-0.1,0.1,discharging,27.4999,50.0,seeking,92.23,95.186,104.789,105.473,16.234,0,CRC/QPSK/OFDM,1,0,129,133,1064,532,12,44,960,192,48,"p1br,seq=00004,frame_b=00133,bits=01064,qpsk=00532,ofdm=012,pad_q=00044,gap=0,ok=1","trk,seq=00004,pan=092.23,tilt=095.19,sun_pan=104.79,sun_tilt=105.47,err=16.23,state=seeking,ldr=3776/4095/3341/3745",Orin software solar tracker
2026-08-05T09:28:46.643169+00:00,1,,0,5,53,1.25,-0.075,-0.0,trk,0,,,55.0,-0.1,0.1,discharging,27.4999,50.0,seeking,93.291,96.099,108.26,106.074,17.989,0,CRC/QPSK/OFDM,1,0,129,133,1064,532,12,44,960,192,48,"p1br,seq=00005,frame_b=00133,bits=01064,qpsk=00532,ofdm=012,pad_q=00044,gap=0,ok=1","trk,seq=00005,pan=093.29,tilt=096.10,sun_pan=108.26,sun_tilt=106.07,err=17.99,state=seeking,ldr=3699/4095/3282/3760",Orin software solar tracker
2026-08-05T09:28:47.633024+00:00,1,,0,6,54,1.25,-0.075,-0.0,trk,0,,,55.0,-0.1,0.1,discharging,27.4998,50.0,seeking,94.523,96.987,111.584,106.597,19.581,0,CRC/QPSK/OFDM,1,0,129,133,1064,532,12,44,960,192,48,"p1br,seq=00006,frame_b=00133,bits=01064,qpsk=00532,ofdm=012,pad_q=00044,gap=0,ok=1","trk,seq=00006,pan=094.52,tilt=096.99,sun_pan=111.58,sun_tilt=106.60,err=19.58,state=seeking,ldr=3628/4095/3228/3769",Orin software solar tracker
2026-08-05T09:28:48.651481+00:00,1,,0,7,55,1.25,-0.1,-0.0,trk,0,,,55.0,-0.1,0.1,discharging,27.4998,50.0,seeking,95.91,97.846,114.733,107.04,20.948,0,CRC/QPSK/OFDM,1,0,129,133,1064,532,12,44,960,192,48,"p1br,seq=00007,frame_b=00133,bits=01064,qpsk=00532,ofdm=012,pad_q=00044,gap=0,ok=1","trk,seq=00007,pan=095.91,tilt=097.85,sun_pan=114.73,sun_tilt=107.04,err=20.95,state=seeking,ldr=3563/4095/3183/3777",Orin software solar tracker
2026-08-05T09:28:49.642423+00:00,1,,0,8,57,1.25,-0.1,-0.0,trk,0,,,55.0,-0.1,0.1,discharging,27.4998,50.0,seeking,97.425,98.677,117.682,107.4,22.056,0,CRC/QPSK/OFDM,1,0,129,133,1064,532,12,44,960,192,48,"p1br,seq=00008,frame_b=00133,bits=01064,qpsk=00532,ofdm=012,pad_q=00044,gap=0,ok=1","trk,seq=00008,pan=097.42,tilt=098.68,sun_pan=117.68,sun_tilt=107.40,err=22.06,state=seeking,ldr=3507/4095/3148/3783",Orin software solar tracker
2026-08-05T09:28:50.700035+00:00,1,,0,9,58,1.25,-0.1,-0.0,trk,0,,,54.999,-0.1,0.1,discharging,27.4997,50.0,seeking,99.044,99.473,120.407,107.678,22.884,0,CRC/QPSK/OFDM,1,0,129,133,1064,532,12,44,960,192,48,"p1br,seq=00009,frame_b=00133,bits=01064,qpsk=00532,ofdm=012,pad_q=00044,gap=0,ok=1","trk,seq=00009,pan=099.04,tilt=099.47,sun_pan=120.41,sun_tilt=107.68,err=22.88,state=seeking,ldr=3460/4095/3124/3791",Orin software solar tracker
