received_utc,valid,error,seq_gap,seq,d_pct,v_mv,i_ma,p_mw,mppt,fault,chk,computed_chk,bess_soc_pct,bess_power_w,bess_load_w,bess_state,bess_energy_wh,bess_capacity_wh,tracker_state,tracker_pan_deg,tracker_tilt_deg,tracker_sun_pan_deg,tracker_sun_tilt_deg,tracker_error_deg,tracker_servo_enabled,vision_mode,vision_detected,vision_confidence,vision_target_x_px,vision_target_y_px,vision_x_error,vision_y_error,vision_frame_w,vision_frame_h,vision_brightness_max,vision_area_px,comm_layer,comm_frame_ok,comm_bridge_gap,comm_payload_bytes,comm_frame_bytes,comm_frame_bits,comm_qpsk_symbols,comm_ofdm_symbols,comm_pad_q,comm_tx_samples,comm_cp_samples,comm_pilot_bins,comm_status_line,raw_line,source_label
2026-08-06T08:15:50.387032+00:00,1,,0,0,50,5296.359,300.098,1589.427,cv,0,,,55.0,1.489,0.1,charging,27.5,50.0,locked,90.0,85.524,90.0,80.861,4.663,0,synthetic,1,0.92,320.0,329.53,0.0,-0.37303,640,480,255,80,CRC/QPSK/OFDM,1,0,129,133,1064,532,12,44,960,192,48,"p1br,seq=00000,frame_b=00133,bits=01064,qpsk=00532,ofdm=012,pad_q=00044,gap=0,ok=1","cvtrk,seq=00000,det=1,conf=0.92,x=+0.000,y=-0.373,pan=090.0,tilt=085.5,target=090.0/080.9,err=04.7,st=locked",Orin CSI camera solar tracker
2026-08-06T08:15:50.637701+00:00,1,,0,1,53,5299.147,301.467,1597.518,cv,0,,,55.0,1.498,0.1,charging,27.5001,50.0,locked,91.381,80.563,93.566,80.0,2.257,0,synthetic,1,0.92,356.81,339.22,0.11504,-0.4134,640,480,255,80,CRC/QPSK/OFDM,1,0,129,133,1064,532,12,44,960,192,48,"p1br,seq=00001,frame_b=00133,bits=01064,qpsk=00532,ofdm=012,pad_q=00044,gap=0,ok=1","cvtrk,seq=00001,det=1,conf=0.92,x=+0.115,y=-0.413,pan=091.4,tilt=080.6,target=093.6/080.0,err=02.3,st=locked",Orin CSI camera solar tracker
2026-08-06T08:15:50.886945+00:00,1,,0,2,60,5296.891,300.359,1590.969,cv,0,,,55.0,1.491,0.1,charging,27.5002,50.0,locked,94.102,80.0,98.41,80.0,4.309,0,synthetic,1,0.92,392.57,347.5,0.22677,-0.44792,640,480,255,80,CRC/QPSK/OFDM,1,0,129,133,1064,532,12,44,960,192,48,"p1br,seq=00002,frame_b=00133,bits=01064,qpsk=00532,ofdm=012,pad_q=00044,gap=0,ok=1","cvtrk,seq=00002,det=1,conf=0.92,x=+0.227,y=-0.448,pan=094.1,tilt=080.0,target=098.4/080.0,err=04.3,st=locked",Orin CSI camera solar tracker
2026-08-06T08:15:51.138721+00:00,1,,0,3,70,5293.342,298.618,1580.689,cv,0,,,55.001,1.481,0.1,charging,27.5003,50.0,seeking,98.085,80.0,104.393,80.0,6.307,0,synthetic,1,0.92,426.23,354.27,0.33196,-0.47611,640,480,255,80,CRC/QPSK/OFDM,1,0,129,133,1064,532,12,44,960,192,48,"p1br,seq=00003,frame_b=00133,bits=01064,qpsk=00532,ofdm=012,pad_q=00044,gap=0,ok=1","cvtrk,seq=00003,det=1,conf=0.92,x=+0.332,y=-0.476,pan=098.1,tilt=080.0,target=104.4/080.0,err=06.3,st=seeking",Orin CSI camera solar tracker
2026-08-06T08:15:51.389782+00:00,1,,0,4,83,5292.299,298.108,1577.675,cv,0,,,55.001,1.478,0.1,charging,27.5004,50.0,seeking,103.216,80.0,110.0,80.0,6.784,0,synthetic,1,0.92,456.83,359.42,0.42758,-0.49757,640,480,255,80,CRC/QPSK/OFDM,1,0,129,133,1064,532,12,44,960,192,48,"p1br,seq=00004,frame_b=00133,bits=01064,qpsk=00532,ofdm=012,pad_q=00044,gap=0,ok=1","cvtrk,seq=00004,det=1,conf=0.92,x=+0.428,y=-0.498,pan=103.2,tilt=080.0,target=110.0/080.0,err=06.8,st=seeking",Orin CSI camera solar tracker
2026-08-06T08:15:51.636737+00:00,1,,0,5,98,5299.928,301.852,1599.792,cv,0,,,55.001,1.5,0.1,charging,27.5005,50.0,locked,109.347,80.0,110.0,80.0,0.653,0,synthetic,1,0.92,483.48,362.88,0.51087,-0.51199,640,480,255,80,CRC/QPSK/OFDM,1,0,129,133,1064,532,12,44,960,192,48,"p1br,seq=00005,frame_b=00133,bits=01064,qpsk=00532,ofdm=012,pad_q=00044,gap=0,ok=1","cvtrk,seq=00005,det=1,conf=0.92,x=+0.511,y=-0.512,pan=109.3,tilt=080.0,target=110.0/080.0,err=00.7,st=locked",Orin CSI camera solar tracker
2026-08-06T08:15:51.888862+00:00,1,,0,6,100,5300.0,301.887,1600.0,cv,0,,,55.001,1.5,0.1,charging,27.5006,50.0,locked,110.0,80.0,110.0,80.0,0.0,0,synthetic,1,0.92,505.42,364.6,0.57943,-0.51916,640,480,255,80,CRC/QPSK/OFDM,1,0,129,133,1064,532,12,44,960,192,48,"p1br,seq=00006,frame_b=00133,bits=01064,qpsk=00532,ofdm=012,pad_q=00044,gap=0,ok=1","cvtrk,seq=00006,det=1,conf=0.92,x=+0.579,y=-0.519,pan=110.0,tilt=080.0,target=110.0/080.0,err=00.0,st=locked",Orin CSI camera solar tracker
2026-08-06T08:15:52.140571+00:00,1,,0,7,100,5300.0,301.887,1600.0,cv,0,,,55.001,1.5,0.1,charging,27.5007,50.0,locked,110.0,80.0,110.0,80.0,0.0,0,synthetic,1,0.92,522.01,364.56,0.63129,-0.51899,640,480,255,80,CRC/QPSK/OFDM,1,0,129,133,1064,532,12,44,960,192,48,"p1br,seq=00007,frame_b=00133,bits=01064,qpsk=00532,ofdm=012,pad_q=00044,gap=0,ok=1","cvtrk,seq=00007,det=1,conf=0.92,x=+0.631,y=-0.519,pan=110.0,tilt=080.0,target=110.0/080.0,err=00.0,st=locked",Orin CSI camera solar tracker
2026-08-06T08:15:52.392707+00:00,1,,0,8,100,5300.0,301.887,1600.0,cv,0,,,55.002,1.5,0.1,charging,27.5008,50.0,locked,110.0,80.0,110.0,80.0,0.0,0,synthetic,1,0.92,532.78,362.76,0.66495,-0.51149,640,480,255,80,CRC/QPSK/OFDM,1,0,129,133,1064,532,12,44,960,192,48,"p1br,seq=00008,frame_b=00133,bits=01064,qpsk=00532,ofdm=012,pad_q=00044,gap=0,ok=1","cvtrk,seq=00008,det=1,conf=0.92,x=+0.665,y=-0.511,pan=110.0,tilt=080.0,target=110.0/080.0,err=00.0,st=locked",Orin CSI camera solar tracker
2026-08-06T08:15:52.643665+00:00,1,,0,9,100,5300.0,301.887,1600.0,cv,0,,,55.002,1.5,0.1,charging,27.5009,50.0,locked,110.0,80.0,110.0,80.0,0.0,0,synthetic,1,0.92,537.42,359.22,0.67943,-0.49674,640,480,255,80,CRC/QPSK/OFDM,1,0,129,133,1064,532,12,44,960,192,48,"p1br,seq=00009,frame_b=00133,bits=01064,qpsk=00532,ofdm=012,pad_q=00044,gap=0,ok=1","cvtrk,seq=00009,det=1,conf=0.92,x=+0.679,y=-0.497,pan=110.0,tilt=080.0,target=110.0/080.0,err=00.0,st=locked",Orin CSI camera solar tracker
