received_utc,valid,error,seq_gap,seq,d_pct,v_mv,i_ma,p_mw,mppt,fault,chk,computed_chk,bess_soc_pct,bess_power_w,bess_load_w,bess_state,bess_energy_wh,bess_capacity_wh,tracker_state,tracker_pan_deg,tracker_tilt_deg,tracker_sun_pan_deg,tracker_sun_tilt_deg,tracker_error_deg,tracker_servo_enabled,comm_layer,comm_frame_ok,comm_bridge_gap,comm_payload_bytes,comm_frame_bytes,comm_frame_bits,comm_qpsk_symbols,comm_ofdm_symbols,comm_pad_q,comm_tx_samples,comm_cp_samples,comm_pilot_bins,comm_status_line,raw_line,source_label
2026-08-06T07:52:44.516853+00:00,1,,0,0,50,0.0,-0.075,-0.0,trk,0,,,55.0,-0.1,0.1,discharging,27.5,50.0,seeking,90.005,92.225,90.03,102.354,10.129,1,CRC/QPSK/OFDM,1,0,129,133,1064,532,12,44,960,192,48,"p1br,seq=00000,frame_b=00133,bits=01064,qpsk=00532,ofdm=012,pad_q=00044,gap=0,ok=1","trk,seq=00000,pan=090.00,tilt=092.23,sun_pan=090.03,sun_tilt=102.35,err=10.13,state=seeking,ldr=4073/4074/3586/3587",Orin software solar tracker
2026-08-06T07:52:44.764989+00:00,1,,0,1,50,2.5,-0.075,-0.0,trk,0,,,55.0,-0.1,0.1,discharging,27.5,50.0,locked,90.141,94.089,90.982,102.583,8.536,1,CRC/QPSK/OFDM,1,0,129,133,1064,532,12,44,960,192,48,"p1br,seq=00001,frame_b=00133,bits=01064,qpsk=00532,ofdm=012,pad_q=00044,gap=0,ok=1","trk,seq=00001,pan=090.14,tilt=094.09,sun_pan=090.98,sun_tilt=102.58,err=08.54,state=locked,ldr=4040/4070/3630/3660",Orin software solar tracker
2026-08-06T07:52:45.015265+00:00,1,,0,2,51,0.0,-0.075,-0.0,trk,0,,,55.0,-0.1,0.1,discharging,27.5,50.0,locked,90.392,95.658,91.934,102.807,7.313,1,CRC/QPSK/OFDM,1,0,129,133,1064,532,12,44,960,192,48,"p1br,seq=00002,frame_b=00133,bits=01064,qpsk=00532,ofdm=012,pad_q=00044,gap=0,ok=1","trk,seq=00002,pan=090.39,tilt=095.66,sun_pan=091.93,sun_tilt=102.81,err=07.31,state=locked,ldr=4009/4064/3662/3718",Orin software solar tracker
2026-08-06T07:52:45.269412+00:00,1,,0,3,52,0.0,-0.075,-0.0,trk,0,,,55.0,-0.1,0.1,discharging,27.5,50.0,locked,90.743,96.985,92.887,103.028,6.413,1,CRC/QPSK/OFDM,1,0,129,133,1064,532,12,44,960,192,48,"p1br,seq=00003,frame_b=00133,bits=01064,qpsk=00532,ofdm=012,pad_q=00044,gap=0,ok=1","trk,seq=00003,pan=090.74,tilt=096.99,sun_pan=092.89,sun_tilt=103.03,err=06.41,state=locked,ldr=3980/4057/3686/3764",Orin software solar tracker
2026-08-06T07:52:45.611215+00:00,1,,0,4,53,1.25,-0.075,-0.0,trk,0,,,55.0,-0.1,0.1,discharging,27.5,50.0,locked,91.176,98.113,93.836,103.245,5.78,1,CRC/QPSK/OFDM,1,0,129,133,1064,532,12,44,960,192,48,"p1br,seq=00004,frame_b=00133,bits=01064,qpsk=00532,ofdm=012,pad_q=00044,gap=0,ok=1","trk,seq=00004,pan=091.18,tilt=098.11,sun_pan=093.84,sun_tilt=103.24,err=05.78,state=locked,ldr=3954/4050/3704/3800",Orin software solar tracker
2026-08-06T07:52:45.816261+00:00,1,,0,5,54,0.0,-0.075,-0.0,trk,0,,,55.0,-0.1,0.1,discharging,27.5,50.0,locked,91.681,99.074,94.783,103.457,5.37,1,CRC/QPSK/OFDM,1,0,129,133,1064,532,12,44,960,192,48,"p1br,seq=00005,frame_b=00133,bits=01064,qpsk=00532,ofdm=012,pad_q=00044,gap=0,ok=1","trk,seq=00005,pan=091.68,tilt=099.07,sun_pan=094.78,sun_tilt=103.46,err=05.37,state=locked,ldr=3931/4043/3718/3830",Orin software solar tracker
2026-08-06T07:52:46.026980+00:00,1,,0,6,56,1.25,-0.1,-0.0,trk,0,,,55.0,-0.1,0.1,discharging,27.5,50.0,locked,92.249,99.899,95.729,103.665,5.128,1,CRC/QPSK/OFDM,1,0,129,133,1064,532,12,44,960,192,48,"p1br,seq=00006,frame_b=00133,bits=01064,qpsk=00532,ofdm=012,pad_q=00044,gap=0,ok=1","trk,seq=00006,pan=092.25,tilt=099.90,sun_pan=095.73,sun_tilt=103.67,err=05.13,state=locked,ldr=3911/4037/3728/3854",Orin software solar tracker
2026-08-06T07:52:46.278819+00:00,1,,0,7,57,2.5,-0.075,-0.0,trk,0,,,55.0,-0.1,0.1,discharging,27.4999,50.0,locked,92.869,100.0,96.671,103.869,5.425,1,CRC/QPSK/OFDM,1,0,129,133,1064,532,12,44,960,192,48,"p1br,seq=00007,frame_b=00133,bits=01064,qpsk=00532,ofdm=012,pad_q=00044,gap=0,ok=1","trk,seq=00007,pan=092.87,tilt=100.00,sun_pan=096.67,sun_tilt=103.87,err=05.42,state=locked,ldr=3894/4031/3735/3873",Orin software solar tracker
2026-08-06T07:52:46.638863+00:00,1,,0,8,59,1.25,-0.1,-0.0,trk,0,,,55.0,-0.1,0.1,discharging,27.4999,50.0,locked,93.534,100.0,97.61,104.068,5.759,1,CRC/QPSK/OFDM,1,0,129,133,1064,532,12,44,960,192,48,"p1br,seq=00008,frame_b=00133,bits=01064,qpsk=00532,ofdm=012,pad_q=00044,gap=0,ok=1","trk,seq=00008,pan=093.53,tilt=100.00,sun_pan=097.61,sun_tilt=104.07,err=05.76,state=locked,ldr=3889/4037/3727/3874",Orin software solar tracker
2026-08-06T07:52:46.783330+00:00,1,,0,9,61,0.0,-0.075,-0.0,trk,0,,,55.0,-0.1,0.1,discharging,27.4999,50.0,locked,94.235,100.0,98.544,104.263,6.061,1,CRC/QPSK/OFDM,1,0,129,133,1064,532,12,44,960,192,48,"p1br,seq=00009,frame_b=00133,bits=01064,qpsk=00532,ofdm=012,pad_q=00044,gap=0,ok=1","trk,seq=00009,pan=094.23,tilt=100.00,sun_pan=098.54,sun_tilt=104.26,err=06.06,state=locked,ldr=3887/4043/3717/3872",Orin software solar tracker
