received_utc,valid,error,seq_gap,seq,d_pct,v_mv,i_ma,p_mw,mppt,fault,chk,computed_chk,bess_soc_pct,bess_power_w,bess_load_w,bess_state,bess_energy_wh,bess_capacity_wh,tracker_state,tracker_pan_deg,tracker_tilt_deg,tracker_sun_pan_deg,tracker_sun_tilt_deg,tracker_error_deg,tracker_servo_enabled,comm_layer,comm_frame_ok,comm_bridge_gap,comm_payload_bytes,comm_frame_bytes,comm_frame_bits,comm_qpsk_symbols,comm_ofdm_symbols,comm_pad_q,comm_tx_samples,comm_cp_samples,comm_pilot_bins,comm_status_line,raw_line,source_label
2026-08-05T10:21:39.082463+00:00,1,,0,0,50,0.0,-0.1,-0.0,trk,0,,,55.0,-0.1,0.1,discharging,27.5,50.0,seeking,90.0,91.142,90.003,102.348,11.206,0,CRC/QPSK/OFDM,1,0,129,133,1064,532,12,44,960,192,48,"p1br,seq=00000,frame_b=00133,bits=01064,qpsk=00532,ofdm=012,pad_q=00044,gap=0,ok=1","trk,seq=00000,pan=090.00,tilt=091.14,sun_pan=090.00,sun_tilt=102.35,err=11.21,state=seeking,ldr=4073/4073/3587/3587",Orin software solar tracker
2026-08-05T10:21:40.079691+00:00,1,,0,1,50,0.0,-0.1,-0.0,trk,0,,,55.0,-0.1,0.1,discharging,27.5,50.0,seeking,90.239,92.232,93.776,103.231,11.554,0,CRC/QPSK/OFDM,1,0,129,133,1064,532,12,44,960,192,48,"p1br,seq=00001,frame_b=00133,bits=01064,qpsk=00532,ofdm=012,pad_q=00044,gap=0,ok=1","trk,seq=00001,pan=090.24,tilt=092.23,sun_pan=093.78,sun_tilt=103.23,err=11.55,state=seeking,ldr=4007/4095/3531/3646",Orin software solar tracker
2026-08-05T10:21:41.078757+00:00,1,,0,2,51,1.25,-0.075,-0.0,trk,0,,,55.0,-0.1,0.1,discharging,27.4999,50.0,seeking,90.694,93.26,97.518,104.049,12.765,0,CRC/QPSK/OFDM,1,0,129,133,1064,532,12,44,960,192,48,"p1br,seq=00002,frame_b=00133,bits=01064,qpsk=00532,ofdm=012,pad_q=00044,gap=0,ok=1","trk,seq=00002,pan=090.69,tilt=093.26,sun_pan=097.52,sun_tilt=104.05,err=12.77,state=seeking,ldr=3933/4095/3469/3691",Orin software solar tracker
2026-08-05T10:21:42.082413+00:00,1,,0,3,51,1.25,-0.075,-0.0,trk,0,,,55.0,-0.1,0.1,discharging,27.4999,50.0,seeking,91.36,94.242,101.199,104.797,14.43,0,CRC/QPSK/OFDM,1,0,129,133,1064,532,12,44,960,192,48,"p1br,seq=00003,frame_b=00133,bits=01064,qpsk=00532,ofdm=012,pad_q=00044,gap=0,ok=1","trk,seq=00003,pan=091.36,tilt=094.24,sun_pan=101.20,sun_tilt=104.80,err=14.43,state=seeking,ldr=3855/4095/3405/3723",Orin software solar tracker
2026-08-05T10:21:43.116819+00:00,1,,0,4,52,1.25,-0.05,-0.0,trk,0,,,55.0,-0.1,0.1,discharging,27.4999,50.0,seeking,92.23,95.186,104.79,105.473,16.235,0,CRC/QPSK/OFDM,1,0,129,133,1064,532,12,44,960,192,48,"p1br,seq=00004,frame_b=00133,bits=01064,qpsk=00532,ofdm=012,pad_q=00044,gap=0,ok=1","trk,seq=00004,pan=092.23,tilt=095.19,sun_pan=104.79,sun_tilt=105.47,err=16.23,state=seeking,ldr=3776/4095/3341/3745",Orin software solar tracker
2026-08-05T10:21:44.084765+00:00,1,,0,5,53,1.25,-0.1,-0.0,trk,0,,,55.0,-0.1,0.1,discharging,27.4999,50.0,seeking,93.291,96.099,108.261,106.074,17.989,0,CRC/QPSK/OFDM,1,0,129,133,1064,532,12,44,960,192,48,"p1br,seq=00005,frame_b=00133,bits=01064,qpsk=00532,ofdm=012,pad_q=00044,gap=0,ok=1","trk,seq=00005,pan=093.29,tilt=096.10,sun_pan=108.26,sun_tilt=106.07,err=17.99,state=seeking,ldr=3699/4095/3282/3760",Orin software solar tracker
2026-08-05T10:21:46.091742+00:00,1,,1,7,55,2.5,-0.075,-0.0,trk,0,,,55.0,-0.1,0.1,discharging,27.4998,50.0,seeking,95.91,97.846,114.734,107.04,20.949,0,CRC/QPSK/OFDM,1,0,129,133,1064,532,12,44,960,192,48,"p1br,seq=00007,frame_b=00133,bits=01064,qpsk=00532,ofdm=012,pad_q=00044,gap=0,ok=1","trk,seq=00007,pan=095.91,tilt=097.85,sun_pan=114.73,sun_tilt=107.04,err=20.95,state=seeking,ldr=3563/4095/3183/3777",Orin software solar tracker
2026-08-05T10:21:47.091620+00:00,0,proxy_injected_corruption,0,8,57,0.0,-0.05,-0.0,trk,0,,,55.0,-0.1,0.1,discharging,27.4998,50.0,seeking,97.425,98.677,117.683,107.4,22.056,0,CRC/QPSK/OFDM,1,0,129,133,1064,532,12,44,960,192,48,"p1br,seq=00008,frame_b=00133,bits=01064,qpsk=00532,ofdm=012,pad_q=00044,gap=0,ok=1","trk,seq=00008,pan=097.42,tilt=098.68,sun_pan=117.68,sun_tilt=107.40,err=22.06,state=seeking,ldr=3507/4095/3148/3783",Orin software solar tracker
2026-08-05T10:21:48.095055+00:00,1,,0,9,58,1.25,-0.1,-0.0,trk,0,,,54.999,-0.1,0.1,discharging,27.4997,50.0,seeking,99.044,99.473,120.408,107.678,22.885,0,CRC/QPSK/OFDM,1,0,129,133,1064,532,12,44,960,192,48,"p1br,seq=00009,frame_b=00133,bits=01064,qpsk=00532,ofdm=012,pad_q=00044,gap=0,ok=1","trk,seq=00009,pan=099.04,tilt=099.47,sun_pan=120.41,sun_tilt=107.68,err=22.88,state=seeking,ldr=3460/4095/3124/3791",Orin software solar tracker
2026-08-05T10:21:49.095542+00:00,1,,0,10,60,0.0,-0.075,-0.0,trk,0,,,54.999,-0.1,0.1,discharging,27.4997,50.0,seeking,100.741,100.229,122.887,107.87,23.427,0,CRC/QPSK/OFDM,1,0,129,133,1064,532,12,44,960,192,48,"p1br,seq=00010,frame_b=00133,bits=01064,qpsk=00532,ofdm=012,pad_q=00044,gap=0,ok=1","trk,seq=00010,pan=100.74,tilt=100.23,sun_pan=122.89,sun_tilt=107.87,err=23.43,state=seeking,ldr=3424/4095/3112/3801",Orin software solar tracker
2026-08-05T10:21:50.097172+00:00,1,,0,11,61,0.0,-0.1,-0.0,trk,0,,,54.999,-0.1,0.1,discharging,27.4997,50.0,seeking,102.488,100.938,125.101,107.976,23.682,0,CRC/QPSK/OFDM,1,0,129,133,1064,532,12,44,960,192,48,"p1br,seq=00011,frame_b=00133,bits=01064,qpsk=00532,ofdm=012,pad_q=00044,gap=0,ok=1","trk,seq=00011,pan=102.49,tilt=100.94,sun_pan=125.10,sun_tilt=107.98,err=23.68,state=seeking,ldr=3398/4095/3111/3814",Orin software solar tracker
2026-08-05T10:21:51.099199+00:00,1,,0,12,63,1.25,-0.075,-0.0,trk,0,,,54.999,-0.1,0.1,discharging,27.4996,50.0,seeking,104.257,101.591,127.03,107.997,23.657,0,CRC/QPSK/OFDM,1,0,129,133,1064,532,12,44,960,192,48,"p1br,seq=00012,frame_b=00133,bits=01064,qpsk=00532,ofdm=012,pad_q=00044,gap=0,ok=1","trk,seq=00012,pan=104.26,tilt=101.59,sun_pan=127.03,sun_tilt=108.00,err=23.66,state=seeking,ldr=3383/4091/3121/3830",Orin software solar tracker
2026-08-05T10:21:53.103031+00:00,1,,1,14,66,0.0,-0.075,-0.0,trk,0,,,54.999,-0.1,0.1,discharging,27.4996,50.0,seeking,107.738,102.696,129.978,107.78,22.814,0,CRC/QPSK/OFDM,1,0,129,133,1064,532,12,44,960,192,48,"p1br,seq=00014,frame_b=00133,bits=01064,qpsk=00532,ofdm=012,pad_q=00044,gap=0,ok=1","trk,seq=00014,pan=107.74,tilt=102.70,sun_pan=129.98,sun_tilt=107.78,err=22.81,state=seeking,ldr=3384/4079/3175/3870",Orin software solar tracker
2026-08-05T10:21:54.106643+00:00,1,,0,15,68,1.25,-0.075,-0.0,trk,0,,,54.999,-0.1,0.1,discharging,27.4996,50.0,seeking,109.412,103.145,130.973,107.543,22.005,0,CRC/QPSK/OFDM,1,0,129,133,1064,532,12,44,960,192,48,"p1br,seq=00015,frame_b=00133,bits=01064,qpsk=00532,ofdm=012,pad_q=00044,gap=0,ok=1","trk,seq=00015,pan=109.41,tilt=103.15,sun_pan=130.97,sun_tilt=107.54,err=22.01,state=seeking,ldr=3398/4076/3216/3894",Orin software solar tracker
2026-08-05T10:21:55.107232+00:00,1,,0,16,69,0.0,-0.075,-0.0,trk,0,,,54.999,-0.1,0.1,discharging,27.4995,50.0,seeking,111.012,103.522,131.637,107.222,20.954,0,CRC/QPSK/OFDM,1,0,129,133,1064,532,12,44,960,192,48,"p1br,seq=00016,frame_b=00133,bits=01064,qpsk=00532,ofdm=012,pad_q=00044,gap=0,ok=1","trk,seq=00016,pan=111.01,tilt=103.52,sun_pan=131.64,sun_tilt=107.22,err=20.95,state=seeking,ldr=3420/4072/3266/3919",Orin software solar tracker
2026-08-05T10:21:56.109463+00:00,0,proxy_injected_corruption,0,17,70,1.25,-0.1,-0.0,trk,0,,,54.999,-0.1,0.1,discharging,27.4995,50.0,seeking,112.521,103.827,131.963,106.819,19.672,0,CRC/QPSK/OFDM,1,0,129,133,1064,532,12,44,960,192,48,"p1br,seq=00017,frame_b=00133,bits=01064,qpsk=00532,ofdm=012,pad_q=00044,gap=0,ok=1","trk,seq=00017,pan=112.52,tilt=103.83,sun_pan=131.96,sun_tilt=106.82,err=19.67,state=seeking,ldr=3449/4069/3324/3943",Orin software solar tracker
2026-08-05T10:21:57.111673+00:00,1,,0,18,72,0.0,-0.075,-0.0,trk,0,,,54.999,-0.1,0.1,discharging,27.4995,50.0,seeking,113.919,104.059,131.951,106.334,18.175,0,CRC/QPSK/OFDM,1,0,129,133,1064,532,12,44,960,192,48,"p1br,seq=00018,frame_b=00133,bits=01064,qpsk=00532,ofdm=012,pad_q=00044,gap=0,ok=1","trk,seq=00018,pan=113.92,tilt=104.06,sun_pan=131.95,sun_tilt=106.33,err=18.17,state=seeking,ldr=3484/4063/3388/3967",Orin software solar tracker
2026-08-05T10:21:58.113496+00:00,1,,0,19,73,0.0,-0.075,-0.0,trk,0,,,54.999,-0.1,0.1,discharging,27.4994,50.0,seeking,115.192,104.217,131.6,105.77,16.481,0,CRC/QPSK/OFDM,1,0,129,133,1064,532,12,44,960,192,48,"p1br,seq=00019,frame_b=00133,bits=01064,qpsk=00532,ofdm=012,pad_q=00044,gap=0,ok=1","trk,seq=00019,pan=115.19,tilt=104.22,sun_pan=131.60,sun_tilt=105.77,err=16.48,state=seeking,ldr=3524/4055/3458/3989",Orin software solar tracker
2026-08-05T10:22:00.123269+00:00,1,,1,21,75,1.25,-0.1,-0.0,trk,0,,,54.999,-0.1,0.1,discharging,27.4994,50.0,seeking,117.301,104.314,129.894,104.415,12.593,0,CRC/QPSK/OFDM,1,0,129,133,1064,532,12,44,960,192,48,"p1br,seq=00021,frame_b=00133,bits=01064,qpsk=00532,ofdm=012,pad_q=00044,gap=0,ok=1","trk,seq=00021,pan=117.30,tilt=104.31,sun_pan=129.89,sun_tilt=104.42,err=12.59,state=seeking,ldr=3611/4025/3606/4021",Orin software solar tracker
2026-08-05T10:22:01.120258+00:00,1,,0,22,76,1.25,-0.1,-0.0,trk,0,,,54.999,-0.1,0.1,discharging,27.4994,50.0,seeking,118.111,104.25,128.553,103.63,10.46,0,CRC/QPSK/OFDM,1,0,129,133,1064,532,12,44,960,192,48,"p1br,seq=00022,frame_b=00133,bits=01064,qpsk=00532,ofdm=012,pad_q=00044,gap=0,ok=1","trk,seq=00022,pan=118.11,tilt=104.25,sun_pan=128.55,sun_tilt=103.63,err=10.46,state=seeking,ldr=3655/4001/3682/4028",Orin software solar tracker
2026-08-05T10:22:02.120794+00:00,1,,0,23,76,0.0,-0.05,-0.0,trk,0,,,54.999,-0.1,0.1,discharging,27.4993,50.0,locked,118.744,104.114,126.9,102.778,8.265,0,CRC/QPSK/OFDM,1,0,129,133,1064,532,12,44,960,192,48,"p1br,seq=00023,frame_b=00133,bits=01064,qpsk=00532,ofdm=012,pad_q=00044,gap=0,ok=1","trk,seq=00023,pan=118.74,tilt=104.11,sun_pan=126.90,sun_tilt=102.78,err=08.27,state=locked,ldr=3698/3970/3757/4028",Orin software solar tracker
