received_utc,valid,error,seq_gap,seq,d_pct,v_mv,i_ma,p_mw,mppt,fault,fault_label,fault_reason,fault_severity,chk,computed_chk,bess_soc_pct,bess_power_w,bess_load_w,bess_state,bess_energy_wh,bess_capacity_wh,tracker_state,tracker_pan_deg,tracker_tilt_deg,tracker_sun_pan_deg,tracker_sun_tilt_deg,tracker_error_deg,tracker_servo_enabled,vision_mode,vision_detected,vision_confidence,vision_target_x_px,vision_target_y_px,vision_x_error,vision_y_error,vision_frame_w,vision_frame_h,vision_brightness_max,vision_area_px,comm_layer,comm_frame_ok,comm_bridge_gap,comm_payload_bytes,comm_frame_bytes,comm_frame_bits,comm_qpsk_symbols,comm_ofdm_symbols,comm_pad_q,comm_tx_samples,comm_cp_samples,comm_pilot_bins,comm_status_line,raw_line,source_label
2026-08-11T16:47:49.616603+00:00,1,,0,0,50,44.0,0.044,0.001936,trk,0,Standby,Shading detection waits for a locked tracker and positive power.,normal,,,55.0,-0.00011,0.00011,idle,5.0875,9.25,track-pan,90.0,90.0,118.165,65.134,37.571,1,,,,,,,,,,,,CRC/QPSK/OFDM,1,0,157,161,1288,644,14,28,1120,224,56,"p1br,seq=00000,frame_b=00161,bits=01288,qpsk=00644,ofdm=014,pad_q=00028,gap=0,ok=1","ldrtrk,seq=00000,pan=090.00,tilt=090.00,sun_pan=118.17,sun_tilt=065.13,err=37.57,state=track-pan,bv_mv=628.3,bi_ma=-0.2,bp_mw=-0.1,bs=idle",Orin unified tracker bidirectional BESS demo
2026-08-11T16:47:50.026380+00:00,1,,0,1,52,44.0,0.044,0.001936,trk,0,Standby,Shading detection waits for a locked tracker and positive power.,normal,,,55.0,-9.5e-05,9.5e-05,idle,5.0875,9.25,track-pan,93.0,90.0,117.919,65.123,35.211,1,,,,,,,,,,,,CRC/QPSK/OFDM,1,0,157,161,1288,644,14,28,1120,224,56,"p1br,seq=00001,frame_b=00161,bits=01288,qpsk=00644,ofdm=014,pad_q=00028,gap=0,ok=1","ldrtrk,seq=00001,pan=093.00,tilt=090.00,sun_pan=117.92,sun_tilt=065.12,err=35.21,state=track-pan,bv_mv=630.6,bi_ma=-0.1,bp_mw=-0.1,bs=idle",Orin unified tracker bidirectional BESS demo
2026-08-11T16:47:50.640361+00:00,1,,0,2,54,44.0,0.044,0.001936,trk,0,Standby,Shading detection waits for a locked tracker and positive power.,normal,,,55.0,-0.00011,0.00011,idle,5.0875,9.25,track-pan,96.0,90.0,118.055,65.008,33.332,1,,,,,,,,,,,,CRC/QPSK/OFDM,1,0,157,161,1288,644,14,28,1120,224,56,"p1br,seq=00002,frame_b=00161,bits=01288,qpsk=00644,ofdm=014,pad_q=00028,gap=0,ok=1","ldrtrk,seq=00002,pan=096.00,tilt=090.00,sun_pan=118.06,sun_tilt=065.01,err=33.33,state=track-pan,bv_mv=629.4,bi_ma=-0.2,bp_mw=-0.1,bs=idle",Orin unified tracker bidirectional BESS demo
2026-08-11T16:47:51.049870+00:00,1,,0,3,56,44.0,0.044,0.001936,trk,0,Standby,Shading detection waits for a locked tracker and positive power.,normal,,,55.0,-9.5e-05,9.5e-05,idle,5.0875,9.25,track-pan,99.0,90.0,118.042,65.107,31.341,1,,,,,,,,,,,,CRC/QPSK/OFDM,1,0,157,161,1288,644,14,28,1120,224,56,"p1br,seq=00003,frame_b=00161,bits=01288,qpsk=00644,ofdm=014,pad_q=00028,gap=0,ok=1","ldrtrk,seq=00003,pan=099.00,tilt=090.00,sun_pan=118.04,sun_tilt=065.11,err=31.34,state=track-pan,bv_mv=630.6,bi_ma=-0.1,bp_mw=-0.1,bs=idle",Orin unified tracker bidirectional BESS demo
2026-08-11T16:47:51.532329+00:00,1,,0,4,58,44.0,0.044,0.001936,trk,0,Standby,Shading detection waits for a locked tracker and positive power.,normal,,,55.0,-9.5e-05,9.5e-05,idle,5.0875,9.25,track-pan,102.0,90.0,118.178,65.003,29.775,1,,,,,,,,,,,,CRC/QPSK/OFDM,1,0,157,161,1288,644,14,28,1120,224,56,"p1br,seq=00004,frame_b=00161,bits=01288,qpsk=00644,ofdm=014,pad_q=00028,gap=0,ok=1","ldrtrk,seq=00004,pan=102.00,tilt=090.00,sun_pan=118.18,sun_tilt=065.00,err=29.78,state=track-pan,bv_mv=630.6,bi_ma=-0.1,bp_mw=-0.1,bs=idle",Orin unified tracker bidirectional BESS demo
2026-08-11T16:47:52.043109+00:00,1,,0,5,59,44.0,0.044,0.001936,trk,0,Standby,Shading detection waits for a locked tracker and positive power.,normal,,,55.0,-0.000141,0.000141,idle,5.0875,9.25,track-pan,105.0,90.0,118.301,65.019,28.301,1,,,,,,,,,,,,CRC/QPSK/OFDM,1,0,157,161,1288,644,14,28,1120,224,56,"p1br,seq=00005,frame_b=00161,bits=01288,qpsk=00644,ofdm=014,pad_q=00028,gap=0,ok=1","ldrtrk,seq=00005,pan=105.00,tilt=090.00,sun_pan=118.30,sun_tilt=065.02,err=28.30,state=track-pan,bv_mv=627.1,bi_ma=-0.2,bp_mw=-0.1,bs=idle",Orin unified tracker bidirectional BESS demo
2026-08-11T16:47:52.539272+00:00,1,,0,6,61,44.0,0.044,0.001936,trk,0,Standby,Shading detection waits for a locked tracker and positive power.,normal,,,55.0,-0.00011,0.00011,idle,5.0875,9.25,track-pan,108.0,90.0,118.037,65.019,26.922,1,,,,,,,,,,,,CRC/QPSK/OFDM,1,0,157,161,1288,644,14,28,1120,224,56,"p1br,seq=00006,frame_b=00161,bits=01288,qpsk=00644,ofdm=014,pad_q=00028,gap=0,ok=1","ldrtrk,seq=00006,pan=108.00,tilt=090.00,sun_pan=118.04,sun_tilt=065.02,err=26.92,state=track-pan,bv_mv=630.6,bi_ma=-0.2,bp_mw=-0.1,bs=idle",Orin unified tracker bidirectional BESS demo
2026-08-11T16:47:53.115007+00:00,1,,0,7,63,49.0,0.049,0.002401,trk,0,Standby,Shading detection waits for a locked tracker and positive power.,normal,,,55.0,-9.4e-05,9.4e-05,idle,5.0875,9.25,track-pan,111.0,90.0,118.0,65.136,25.83,1,,,,,,,,,,,,CRC/QPSK/OFDM,1,0,157,161,1288,644,14,28,1120,224,56,"p1br,seq=00007,frame_b=00161,bits=01288,qpsk=00644,ofdm=014,pad_q=00028,gap=0,ok=1","ldrtrk,seq=00007,pan=111.00,tilt=090.00,sun_pan=118.00,sun_tilt=065.14,err=25.83,state=track-pan,bv_mv=629.4,bi_ma=-0.1,bp_mw=-0.1,bs=idle",Orin unified tracker bidirectional BESS demo
2026-08-11T16:47:53.559280+00:00,1,,0,8,65,40.0,0.04,0.0016,trk,0,Standby,Shading detection waits for a locked tracker and positive power.,normal,,,55.0,-0.00011,0.00011,idle,5.0875,9.25,track-pan,114.0,90.0,118.018,65.083,25.239,1,,,,,,,,,,,,CRC/QPSK/OFDM,1,0,157,161,1288,644,14,28,1120,224,56,"p1br,seq=00008,frame_b=00161,bits=01288,qpsk=00644,ofdm=014,pad_q=00028,gap=0,ok=1","ldrtrk,seq=00008,pan=114.00,tilt=090.00,sun_pan=118.02,sun_tilt=065.08,err=25.24,state=track-pan,bv_mv=629.4,bi_ma=-0.2,bp_mw=-0.1,bs=idle",Orin unified tracker bidirectional BESS demo
2026-08-11T16:47:54.122341+00:00,1,,0,9,67,49.0,0.049,0.002401,trk,0,Standby,Shading detection waits for a locked tracker and positive power.,normal,,,55.0,-9.4e-05,9.4e-05,idle,5.0875,9.25,track-pan,117.0,90.0,117.876,65.067,24.949,1,,,,,,,,,,,,CRC/QPSK/OFDM,1,0,157,161,1288,644,14,28,1120,224,56,"p1br,seq=00009,frame_b=00161,bits=01288,qpsk=00644,ofdm=014,pad_q=00028,gap=0,ok=1","ldrtrk,seq=00009,pan=117.00,tilt=090.00,sun_pan=117.88,sun_tilt=065.07,err=24.95,state=track-pan,bv_mv=629.4,bi_ma=-0.1,bp_mw=-0.1,bs=idle",Orin unified tracker bidirectional BESS demo
