received_utc,valid,error,seq_gap,seq,d_pct,v_mv,i_ma,p_mw,mppt,fault,fault_label,fault_reason,fault_severity,chk,computed_chk,bess_soc_pct,bess_power_w,bess_load_w,bess_state,bess_energy_wh,bess_capacity_wh,tracker_state,tracker_pan_deg,tracker_tilt_deg,tracker_sun_pan_deg,tracker_sun_tilt_deg,tracker_error_deg,tracker_servo_enabled,vision_mode,vision_detected,vision_confidence,vision_target_x_px,vision_target_y_px,vision_x_error,vision_y_error,vision_frame_w,vision_frame_h,vision_brightness_max,vision_area_px,comm_layer,comm_frame_ok,comm_bridge_gap,comm_payload_bytes,comm_frame_bytes,comm_frame_bits,comm_qpsk_symbols,comm_ofdm_symbols,comm_pad_q,comm_tx_samples,comm_cp_samples,comm_pilot_bins,comm_status_line,raw_line,source_label
2026-08-11T15:05:32.969834+00:00,1,,0,0,50,84.0,0.084,0.007056,trk,0,Standby,Shading detection waits for a locked tracker and positive power.,normal,,,55.0,-0.638008,0.638008,discharging,5.0875,9.25,track-pan,90.0,90.0,125.477,102.389,37.578,1,,,,,,,,,,,,CRC/QPSK/OFDM,1,0,157,161,1288,644,14,28,1120,224,56,"p1br,seq=00000,frame_b=00161,bits=01288,qpsk=00644,ofdm=014,pad_q=00028,gap=0,ok=1","ldrtrk,seq=00000,pan=090.00,tilt=090.00,sun_pan=125.48,sun_tilt=102.39,err=37.58,state=track-pan,bv_mv=2978.6,bi_ma=-214.2,bp_mw=-638.0,bs=discharging",Orin unified LDR tracker and real BESS
2026-08-11T15:05:33.393581+00:00,1,,0,1,52,93.0,0.093,0.008649,trk,0,Standby,Shading detection waits for a locked tracker and positive power.,normal,,,54.999,-0.638083,0.638083,discharging,5.0874,9.25,track-pan,93.0,90.0,131.466,98.388,39.37,1,,,,,,,,,,,,CRC/QPSK/OFDM,1,0,157,161,1288,644,14,28,1120,224,56,"p1br,seq=00001,frame_b=00161,bits=01288,qpsk=00644,ofdm=014,pad_q=00028,gap=0,ok=1","ldrtrk,seq=00001,pan=093.00,tilt=090.00,sun_pan=131.47,sun_tilt=098.39,err=39.37,state=track-pan,bv_mv=2978.6,bi_ma=-214.2,bp_mw=-638.1,bs=discharging",Orin unified LDR tracker and real BESS
2026-08-11T15:05:33.888959+00:00,1,,0,2,54,93.0,0.093,0.008649,trk,0,Standby,Shading detection waits for a locked tracker and positive power.,normal,,,54.998,-0.637425,0.637425,discharging,5.0873,9.25,track-pan,96.0,90.0,125.971,97.697,30.944,1,,,,,,,,,,,,CRC/QPSK/OFDM,1,0,157,161,1288,644,14,28,1120,224,56,"p1br,seq=00002,frame_b=00161,bits=01288,qpsk=00644,ofdm=014,pad_q=00028,gap=0,ok=1","ldrtrk,seq=00002,pan=096.00,tilt=090.00,sun_pan=125.97,sun_tilt=097.70,err=30.94,state=track-pan,bv_mv=2976.2,bi_ma=-214.2,bp_mw=-637.4,bs=discharging",Orin unified LDR tracker and real BESS
2026-08-11T15:05:34.399677+00:00,1,,0,3,56,89.0,0.089,0.007921,trk,0,Standby,Shading detection waits for a locked tracker and positive power.,normal,,,54.997,-0.638008,0.638008,discharging,5.0872,9.25,track-pan,99.0,90.0,118.192,100.109,21.692,1,,,,,,,,,,,,CRC/QPSK/OFDM,1,0,157,161,1288,644,14,28,1120,224,56,"p1br,seq=00003,frame_b=00161,bits=01288,qpsk=00644,ofdm=014,pad_q=00028,gap=0,ok=1","ldrtrk,seq=00003,pan=099.00,tilt=090.00,sun_pan=118.19,sun_tilt=100.11,err=21.69,state=track-pan,bv_mv=2978.6,bi_ma=-214.2,bp_mw=-638.0,bs=discharging",Orin unified LDR tracker and real BESS
2026-08-11T15:05:34.895716+00:00,1,,0,4,58,89.0,0.089,0.007921,trk,0,Standby,Shading detection waits for a locked tracker and positive power.,normal,,,54.996,-0.636891,0.636891,discharging,5.0871,9.25,track-pan,102.0,90.0,117.393,100.407,18.581,1,,,,,,,,,,,,CRC/QPSK/OFDM,1,0,157,161,1288,644,14,28,1120,224,56,"p1br,seq=00004,frame_b=00161,bits=01288,qpsk=00644,ofdm=014,pad_q=00028,gap=0,ok=1","ldrtrk,seq=00004,pan=102.00,tilt=090.00,sun_pan=117.39,sun_tilt=100.41,err=18.58,state=track-pan,bv_mv=2978.6,bi_ma=-213.8,bp_mw=-636.9,bs=discharging",Orin unified LDR tracker and real BESS
2026-08-11T15:05:35.406718+00:00,1,,0,5,59,93.0,0.093,0.008649,trk,0,Standby,Shading detection waits for a locked tracker and positive power.,normal,,,54.995,-0.637679,0.637679,discharging,5.087,9.25,track-pan,105.0,90.0,114.461,99.136,13.152,1,,,,,,,,,,,,CRC/QPSK/OFDM,1,0,157,161,1288,644,14,28,1120,224,56,"p1br,seq=00005,frame_b=00161,bits=01288,qpsk=00644,ofdm=014,pad_q=00028,gap=0,ok=1","ldrtrk,seq=00005,pan=105.00,tilt=090.00,sun_pan=114.46,sun_tilt=099.14,err=13.15,state=track-pan,bv_mv=2977.4,bi_ma=-214.2,bp_mw=-637.7,bs=discharging",Orin unified LDR tracker and real BESS
2026-08-11T15:05:35.918074+00:00,1,,0,6,61,93.0,0.093,0.008649,trk,0,Standby,Shading detection waits for a locked tracker and positive power.,normal,,,54.994,-0.637605,0.637605,discharging,5.0869,9.25,track-pan,108.0,90.0,113.785,100.741,12.2,1,,,,,,,,,,,,CRC/QPSK/OFDM,1,0,157,161,1288,644,14,28,1120,224,56,"p1br,seq=00006,frame_b=00161,bits=01288,qpsk=00644,ofdm=014,pad_q=00028,gap=0,ok=1","ldrtrk,seq=00006,pan=108.00,tilt=090.00,sun_pan=113.78,sun_tilt=100.74,err=12.20,state=track-pan,bv_mv=2977.4,bi_ma=-214.2,bp_mw=-637.6,bs=discharging",Orin unified LDR tracker and real BESS
2026-08-11T15:05:36.414735+00:00,1,,0,7,63,93.0,0.093,0.008649,trk,0,Standby,Shading detection waits for a locked tracker and positive power.,normal,,,54.993,-0.63771,0.63771,discharging,5.0869,9.25,track-pan,111.0,90.0,115.115,98.725,9.647,1,,,,,,,,,,,,CRC/QPSK/OFDM,1,0,157,161,1288,644,14,28,1120,224,56,"p1br,seq=00007,frame_b=00161,bits=01288,qpsk=00644,ofdm=014,pad_q=00028,gap=0,ok=1","ldrtrk,seq=00007,pan=111.00,tilt=090.00,sun_pan=115.11,sun_tilt=098.73,err=09.65,state=track-pan,bv_mv=2978.6,bi_ma=-214.1,bp_mw=-637.7,bs=discharging",Orin unified LDR tracker and real BESS
2026-08-11T15:05:36.925199+00:00,1,,0,8,65,93.0,0.093,0.008649,trk,0,Standby,Shading detection waits for a locked tracker and positive power.,normal,,,54.992,-0.637425,0.637425,discharging,5.0868,9.25,track-pan,113.221,90.0,113.221,99.275,9.275,1,,,,,,,,,,,,CRC/QPSK/OFDM,1,0,157,161,1288,644,14,28,1120,224,56,"p1br,seq=00008,frame_b=00161,bits=01288,qpsk=00644,ofdm=014,pad_q=00028,gap=0,ok=1","ldrtrk,seq=00008,pan=113.22,tilt=090.00,sun_pan=113.22,sun_tilt=099.27,err=09.27,state=track-pan,bv_mv=2976.2,bi_ma=-214.2,bp_mw=-637.4,bs=discharging",Orin unified LDR tracker and real BESS
2026-08-11T15:05:37.420073+00:00,1,,0,9,65,93.0,0.093,0.008649,trk,0,Standby,Shading detection waits for a locked tracker and positive power.,normal,,,54.991,-0.63771,0.63771,discharging,5.0867,9.25,track-tilt,113.221,90.0,110.991,100.213,10.454,1,,,,,,,,,,,,CRC/QPSK/OFDM,1,0,157,161,1288,644,14,28,1120,224,56,"p1br,seq=00009,frame_b=00161,bits=01288,qpsk=00644,ofdm=014,pad_q=00028,gap=0,ok=1","ldrtrk,seq=00009,pan=113.22,tilt=090.00,sun_pan=110.99,sun_tilt=100.21,err=10.45,state=track-tilt,bv_mv=2978.6,bi_ma=-214.1,bp_mw=-637.7,bs=discharging",Orin unified LDR tracker and real BESS
