symbol_index,tx_i,tx_q,rx_i,rx_q,ebn0_db
0,1.0,-1.0,1.437213,-1.162639,6.0
1,1.0,-1.0,0.926125,-0.537924,6.0
2,-1.0,1.0,-0.478079,0.941895,6.0
3,-1.0,1.0,-0.935728,0.750164,6.0
4,-1.0,1.0,-0.728202,0.632695,6.0
5,-1.0,1.0,-1.161909,0.866314,6.0
6,1.0,-1.0,1.546768,-0.090843,6.0
7,1.0,-1.0,0.898283,-1.428125,6.0
8,-1.0,1.0,-1.461969,1.948982,6.0
9,-1.0,1.0,-1.108583,1.329099,6.0
10,1.0,1.0,1.378149,0.836258,6.0
11,-1.0,-1.0,-0.896356,-0.529340,6.0
12,-1.0,1.0,-1.153053,1.005041,6.0
13,-1.0,-1.0,-1.362859,-1.040193,6.0
14,1.0,1.0,1.056593,1.614047,6.0
15,1.0,1.0,0.954607,1.000546,6.0
16,1.0,1.0,0.661237,1.457845,6.0
17,-1.0,-1.0,-0.880735,-0.925346,6.0
18,1.0,1.0,0.597797,0.441599,6.0
19,-1.0,-1.0,-1.424269,-0.770161,6.0
20,1.0,1.0,0.975543,1.398395,6.0
21,1.0,-1.0,0.863189,-0.732537,6.0
22,-1.0,-1.0,-1.020109,-1.864110,6.0
23,1.0,1.0,0.457615,1.467227,6.0
24,-1.0,1.0,-0.707087,0.529590,6.0
25,-1.0,-1.0,-1.123176,-0.294578,6.0
26,1.0,1.0,0.794826,1.526793,6.0
27,-1.0,-1.0,-0.709456,-0.760820,6.0
28,-1.0,1.0,-0.800823,1.401428,6.0
29,1.0,-1.0,1.052511,-1.659402,6.0
30,-1.0,1.0,-0.854172,1.030473,6.0
31,-1.0,1.0,-1.470539,1.241473,6.0
32,-1.0,1.0,-1.543969,0.916818,6.0
33,-1.0,-1.0,-1.411024,-1.030463,6.0
34,1.0,1.0,1.459775,0.751535,6.0
35,-1.0,1.0,-1.290632,1.043114,6.0
36,1.0,1.0,0.931370,0.823441,6.0
37,-1.0,-1.0,-1.615814,-0.874300,6.0
38,-1.0,-1.0,-1.165225,-1.148048,6.0
39,-1.0,1.0,-1.389689,1.091775,6.0
40,1.0,1.0,1.135404,0.757994,6.0
41,-1.0,-1.0,-0.903128,-1.418454,6.0
42,1.0,1.0,1.044313,0.398762,6.0
43,1.0,1.0,1.038228,0.929568,6.0
44,1.0,1.0,1.143079,0.684656,6.0
45,-1.0,-1.0,-0.645464,-1.020859,6.0
46,1.0,1.0,1.315429,1.528017,6.0
47,1.0,1.0,0.826433,0.372635,6.0
48,1.0,1.0,0.807103,1.042393,6.0
49,-1.0,-1.0,-0.380051,-1.189370,6.0
50,1.0,1.0,0.516280,1.181000,6.0
51,1.0,1.0,0.897901,1.419681,6.0
52,1.0,1.0,0.946704,0.394425,6.0
53,-1.0,-1.0,-1.048485,-0.704620,6.0
54,1.0,1.0,1.302517,1.402875,6.0
55,1.0,1.0,1.345141,0.992425,6.0
56,1.0,1.0,1.284297,0.605534,6.0
57,-1.0,-1.0,-1.111008,-1.092276,6.0
58,1.0,1.0,0.754096,0.994323,6.0
59,-1.0,1.0,-0.356065,1.150403,6.0
60,1.0,1.0,0.855592,1.336047,6.0
61,1.0,-1.0,1.350971,-0.500598,6.0
62,-1.0,-1.0,-1.346937,-1.145525,6.0
63,1.0,1.0,0.823846,1.154290,6.0
64,-1.0,1.0,-0.682761,0.449114,6.0
65,1.0,-1.0,1.322926,-0.822243,6.0
66,-1.0,1.0,-0.620137,1.136846,6.0
67,1.0,1.0,0.523995,0.824258,6.0
68,-1.0,1.0,-0.607028,0.505308,6.0
69,-1.0,1.0,-1.253195,1.646488,6.0
70,-1.0,-1.0,-0.642082,-0.835232,6.0
71,-1.0,-1.0,-1.183933,-1.796874,6.0
72,-1.0,1.0,-1.344190,0.823891,6.0
73,-1.0,-1.0,-0.856029,-0.917599,6.0
74,1.0,1.0,1.253446,1.260208,6.0
75,1.0,1.0,1.400971,1.018965,6.0
76,-1.0,1.0,-1.058238,1.284125,6.0
77,1.0,-1.0,1.320479,-1.254032,6.0
78,1.0,1.0,0.814144,1.552453,6.0
79,-1.0,-1.0,-1.350534,-1.313967,6.0
