ofdm_symbol,carrier,fft_bin,role,i,q
0,-26,38,data,1.0,-1.0
0,-25,39,data,1.0,-1.0
0,-24,40,data,-1.0,1.0
0,-23,41,data,-1.0,1.0
0,-22,42,data,-1.0,1.0
0,-21,43,pilot,1.0,0.0
0,-20,44,data,-1.0,1.0
0,-19,45,data,1.0,-1.0
0,-18,46,data,1.0,-1.0
0,-17,47,data,1.0,-1.0
0,-16,48,data,1.0,1.0
0,-15,49,data,1.0,1.0
0,-14,50,data,-1.0,1.0
0,-13,51,data,-1.0,1.0
0,-12,52,data,-1.0,-1.0
0,-11,53,data,-1.0,1.0
0,-10,54,data,1.0,1.0
0,-9,55,data,-1.0,1.0
0,-8,56,data,-1.0,-1.0
0,-7,57,pilot,-1.0,0.0
0,-6,58,data,1.0,1.0
0,-5,59,data,1.0,-1.0
0,-4,60,data,-1.0,1.0
0,-3,61,data,1.0,-1.0
0,-2,62,data,1.0,-1.0
0,-1,63,data,-1.0,-1.0
0,1,1,data,1.0,1.0
0,2,2,data,1.0,-1.0
0,3,3,data,-1.0,-1.0
0,4,4,data,1.0,1.0
0,5,5,data,-1.0,1.0
0,6,6,data,-1.0,-1.0
0,7,7,pilot,1.0,0.0
0,8,8,data,1.0,1.0
0,9,9,data,-1.0,-1.0
0,10,10,data,-1.0,1.0
0,11,11,data,1.0,-1.0
0,12,12,data,-1.0,1.0
0,13,13,data,-1.0,1.0
0,14,14,data,-1.0,1.0
0,15,15,data,-1.0,-1.0
0,16,16,data,1.0,1.0
0,17,17,data,-1.0,1.0
0,18,18,data,1.0,1.0
0,19,19,data,-1.0,-1.0
0,20,20,data,-1.0,-1.0
0,21,21,pilot,-1.0,0.0
0,22,22,data,-1.0,1.0
0,23,23,data,1.0,1.0
0,24,24,data,-1.0,-1.0
0,25,25,data,1.0,1.0
0,26,26,data,1.0,1.0
