symbol_index,tx_i,tx_q,rx_i,rx_q,ebn0_db
0,1.0,-1.0,0.567506,-1.157962,6.0
1,1.0,-1.0,1.440676,-1.456369,6.0
2,-1.0,1.0,-1.630069,1.107467,6.0
3,-1.0,1.0,-0.890757,0.910183,6.0
4,-1.0,1.0,-1.305094,1.283220,6.0
5,-1.0,1.0,-1.962880,1.402247,6.0
6,1.0,-1.0,0.728123,-1.367544,6.0
7,1.0,-1.0,0.926976,-1.225425,6.0
8,1.0,-1.0,1.095668,-0.873134,6.0
9,1.0,1.0,1.203007,0.673130,6.0
10,1.0,1.0,1.199081,0.854801,6.0
11,-1.0,1.0,-1.039291,1.014500,6.0
12,-1.0,1.0,-0.794888,1.095051,6.0
13,-1.0,-1.0,-1.026480,-0.700091,6.0
14,-1.0,1.0,-0.800309,0.313781,6.0
15,1.0,1.0,1.092722,0.764463,6.0
16,-1.0,1.0,-0.927605,0.955810,6.0
17,-1.0,-1.0,-0.887165,-1.239951,6.0
18,1.0,1.0,1.120451,0.821172,6.0
19,1.0,-1.0,0.369095,-0.842080,6.0
20,-1.0,1.0,-0.936478,1.346673,6.0
21,1.0,-1.0,1.146131,-1.837019,6.0
22,1.0,-1.0,0.903528,-1.026876,6.0
23,-1.0,-1.0,-1.734246,-0.756578,6.0
24,1.0,1.0,1.378750,0.499892,6.0
25,1.0,-1.0,0.547366,-1.346465,6.0
26,-1.0,-1.0,-0.843930,-0.872912,6.0
27,1.0,1.0,0.850715,1.604424,6.0
28,-1.0,1.0,-0.533384,0.480974,6.0
29,-1.0,-1.0,-1.507130,-0.910547,6.0
30,1.0,1.0,0.785255,1.206001,6.0
31,-1.0,-1.0,-0.501566,-0.937996,6.0
32,-1.0,1.0,-0.824705,1.137138,6.0
33,1.0,-1.0,0.766601,-0.890448,6.0
34,-1.0,1.0,-0.669110,1.351525,6.0
35,-1.0,1.0,-1.039247,1.609528,6.0
36,-1.0,1.0,-1.523945,1.069849,6.0
37,-1.0,-1.0,-0.457310,-0.801253,6.0
38,1.0,1.0,1.128332,1.309536,6.0
39,-1.0,1.0,-1.304338,0.682152,6.0
40,1.0,1.0,1.413971,1.071240,6.0
41,-1.0,-1.0,-0.807433,-0.876093,6.0
42,-1.0,-1.0,-0.940277,-0.702028,6.0
43,-1.0,1.0,-1.384723,1.132363,6.0
44,1.0,1.0,0.955447,0.954246,6.0
45,-1.0,-1.0,-1.206499,-0.781586,6.0
46,1.0,1.0,0.577209,0.523105,6.0
47,1.0,1.0,1.325790,1.476560,6.0
48,1.0,1.0,0.367691,0.964840,6.0
49,-1.0,-1.0,-1.239452,-0.874019,6.0
50,1.0,1.0,1.136192,1.551769,6.0
51,1.0,1.0,1.724208,1.146887,6.0
52,1.0,1.0,1.356314,1.373668,6.0
53,-1.0,-1.0,-0.946347,-0.556230,6.0
54,1.0,1.0,0.772335,0.917698,6.0
55,1.0,1.0,1.146825,0.705231,6.0
56,1.0,1.0,0.875461,0.608479,6.0
57,-1.0,-1.0,-1.047964,-1.960186,6.0
58,1.0,1.0,1.138810,1.141148,6.0
59,1.0,-1.0,0.865118,-1.340416,6.0
60,1.0,1.0,1.351851,1.291464,6.0
61,-1.0,-1.0,-0.476056,-0.780453,6.0
62,1.0,1.0,1.445577,1.496943,6.0
63,-1.0,-1.0,-1.090132,-1.237679,6.0
64,1.0,1.0,1.324757,0.845219,6.0
65,1.0,-1.0,1.047300,-1.132045,6.0
66,-1.0,-1.0,-0.890071,-0.732580,6.0
67,1.0,1.0,1.069641,0.202678,6.0
68,-1.0,1.0,-1.205719,1.165878,6.0
69,-1.0,-1.0,-0.920829,-1.080436,6.0
70,1.0,1.0,1.012017,0.612698,6.0
71,1.0,1.0,0.766454,0.612926,6.0
72,-1.0,1.0,-1.358641,0.625775,6.0
73,1.0,-1.0,1.138073,-0.665891,6.0
74,1.0,1.0,0.865794,0.974789,6.0
75,-1.0,1.0,-0.669844,0.907343,6.0
76,-1.0,1.0,-0.862048,0.593624,6.0
77,1.0,-1.0,1.287339,-0.702003,6.0
78,-1.0,-1.0,-0.573909,-1.159277,6.0
79,1.0,-1.0,0.830191,-1.295357,6.0
80,1.0,1.0,1.335063,0.357843,6.0
81,-1.0,-1.0,-1.729648,-0.988288,6.0
82,-1.0,-1.0,-1.609352,-0.650912,6.0
83,-1.0,1.0,-1.632883,0.924425,6.0
84,1.0,1.0,0.993864,1.021442,6.0
85,-1.0,-1.0,-1.143996,-0.468663,6.0
86,1.0,1.0,0.661025,1.078765,6.0
87,-1.0,1.0,-1.193034,0.740402,6.0
88,1.0,1.0,1.295857,1.437754,6.0
89,-1.0,-1.0,-1.003461,-1.639976,6.0
90,1.0,1.0,1.861424,0.932478,6.0
91,1.0,-1.0,0.598561,-0.951591,6.0
92,1.0,1.0,1.173230,0.667570,6.0
93,-1.0,-1.0,-1.368058,-1.377572,6.0
94,-1.0,1.0,-1.287374,0.478998,6.0
95,1.0,1.0,0.436700,1.001041,6.0
96,1.0,1.0,0.924847,0.592584,6.0
97,1.0,-1.0,0.231780,-0.339388,6.0
98,-1.0,-1.0,-0.702331,-1.365328,6.0
99,1.0,-1.0,0.849253,-0.931945,6.0
100,1.0,1.0,1.045330,1.046608,6.0
101,-1.0,-1.0,-0.531874,-1.317200,6.0
102,1.0,-1.0,1.475823,-0.654045,6.0
103,-1.0,1.0,-1.489238,0.971048,6.0
104,1.0,1.0,1.080605,0.926408,6.0
105,1.0,-1.0,1.263784,-0.500215,6.0
106,-1.0,-1.0,-0.977858,-0.868735,6.0
107,1.0,1.0,1.143930,1.008260,6.0
108,-1.0,1.0,-1.064996,1.182391,6.0
109,-1.0,-1.0,-1.231192,-1.222642,6.0
110,-1.0,1.0,-1.376591,0.973955,6.0
111,1.0,1.0,0.634002,1.066266,6.0
112,-1.0,1.0,-0.849752,0.921446,6.0
113,1.0,-1.0,0.736659,-1.189712,6.0
114,1.0,-1.0,1.101315,-1.132508,6.0
115,-1.0,1.0,-0.856222,1.151958,6.0
116,-1.0,1.0,-1.430040,1.742793,6.0
117,1.0,-1.0,0.895052,-1.042128,6.0
118,-1.0,-1.0,-1.381450,-1.299961,6.0
119,1.0,1.0,0.821962,0.967312,6.0
