received_utc,valid,error,seq_gap,seq,d_pct,v_mv,i_ma,p_mw,mppt,fault,fault_label,fault_reason,fault_severity,chk,computed_chk,bess_soc_pct,bess_power_w,bess_load_w,bess_state,bess_energy_wh,bess_capacity_wh,tracker_state,tracker_pan_deg,tracker_tilt_deg,tracker_sun_pan_deg,tracker_sun_tilt_deg,tracker_error_deg,tracker_servo_enabled,vision_mode,vision_detected,vision_confidence,vision_target_x_px,vision_target_y_px,vision_x_error,vision_y_error,vision_frame_w,vision_frame_h,vision_brightness_max,vision_area_px,comm_layer,comm_frame_ok,comm_bridge_gap,comm_payload_bytes,comm_frame_bytes,comm_frame_bits,comm_qpsk_symbols,comm_ofdm_symbols,comm_pad_q,comm_tx_samples,comm_cp_samples,comm_pilot_bins,comm_status_line,raw_line,source_label
2026-08-11T14:24:40.717732+00:00,1,,0,0,0,3834.841,233.35,894.86,bess,0,OK,No protection flag active for this sensor-only test.,normal,,,55.0,0.89486,0.0,charging,5.0875,9.25,,,,,,,,,,,,,,,,,,,CRC/QPSK/OFDM,1,0,63,67,536,268,6,20,480,96,24,"p1br,seq=00000,frame_b=00067,bits=00536,qpsk=00268,ofdm=006,pad_q=00020,gap=0,ok=1","bess,seq=00000,v_mv=3834.841,i_ma=233.350,p_mw=894.860,shunt_uv=23335.000",Orin real INA226 battery charging BESS
2026-08-11T14:24:41.054775+00:00,1,,0,1,0,3838.404,233.7,897.035,bess,0,OK,No protection flag active for this sensor-only test.,normal,,,55.001,0.897035,0.0,charging,5.0876,9.25,,,,,,,,,,,,,,,,,,,CRC/QPSK/OFDM,1,0,63,67,536,268,6,20,480,96,24,"p1br,seq=00001,frame_b=00067,bits=00536,qpsk=00268,ofdm=006,pad_q=00020,gap=0,ok=1","bess,seq=00001,v_mv=3838.404,i_ma=233.700,p_mw=897.035,shunt_uv=23370.000",Orin real INA226 battery charging BESS
2026-08-11T14:24:41.265101+00:00,1,,0,2,0,3836.029,233.775,896.768,bess,0,OK,No protection flag active for this sensor-only test.,normal,,,55.001,0.896768,0.0,charging,5.0876,9.25,,,,,,,,,,,,,,,,,,,CRC/QPSK/OFDM,1,0,63,67,536,268,6,20,480,96,24,"p1br,seq=00002,frame_b=00067,bits=00536,qpsk=00268,ofdm=006,pad_q=00020,gap=0,ok=1","bess,seq=00002,v_mv=3836.029,i_ma=233.775,p_mw=896.768,shunt_uv=23377.500",Orin real INA226 battery charging BESS
2026-08-11T14:24:41.472170+00:00,1,,0,3,0,3836.029,234.45,899.357,bess,0,OK,No protection flag active for this sensor-only test.,normal,,,55.002,0.899357,0.0,charging,5.0877,9.25,,,,,,,,,,,,,,,,,,,CRC/QPSK/OFDM,1,0,63,67,536,268,6,20,480,96,24,"p1br,seq=00003,frame_b=00067,bits=00536,qpsk=00268,ofdm=006,pad_q=00020,gap=0,ok=1","bess,seq=00003,v_mv=3836.029,i_ma=234.450,p_mw=899.357,shunt_uv=23445.000",Orin real INA226 battery charging BESS
2026-08-11T14:24:41.726329+00:00,1,,0,4,0,3837.216,234.35,899.252,bess,0,OK,No protection flag active for this sensor-only test.,normal,,,55.003,0.899252,0.0,charging,5.0877,9.25,,,,,,,,,,,,,,,,,,,CRC/QPSK/OFDM,1,0,63,67,536,268,6,20,480,96,24,"p1br,seq=00004,frame_b=00067,bits=00536,qpsk=00268,ofdm=006,pad_q=00020,gap=0,ok=1","bess,seq=00004,v_mv=3837.216,i_ma=234.350,p_mw=899.252,shunt_uv=23435.000",Orin real INA226 battery charging BESS
2026-08-11T14:24:42.073761+00:00,1,,0,5,0,3837.216,234.825,901.074,bess,0,OK,No protection flag active for this sensor-only test.,normal,,,55.003,0.901074,0.0,charging,5.0878,9.25,,,,,,,,,,,,,,,,,,,CRC/QPSK/OFDM,1,0,63,67,536,268,6,20,480,96,24,"p1br,seq=00005,frame_b=00067,bits=00536,qpsk=00268,ofdm=006,pad_q=00020,gap=0,ok=1","bess,seq=00005,v_mv=3837.216,i_ma=234.825,p_mw=901.074,shunt_uv=23482.500",Orin real INA226 battery charging BESS
2026-08-11T14:24:42.280397+00:00,1,,0,6,0,3838.404,234.825,901.353,bess,0,OK,No protection flag active for this sensor-only test.,normal,,,55.004,0.901353,0.0,charging,5.0879,9.25,,,,,,,,,,,,,,,,,,,CRC/QPSK/OFDM,1,0,63,67,536,268,6,20,480,96,24,"p1br,seq=00006,frame_b=00067,bits=00536,qpsk=00268,ofdm=006,pad_q=00020,gap=0,ok=1","bess,seq=00006,v_mv=3838.404,i_ma=234.825,p_mw=901.353,shunt_uv=23482.500",Orin real INA226 battery charging BESS
2026-08-11T14:24:42.494404+00:00,1,,0,7,0,3837.216,234.3,899.06,bess,0,OK,No protection flag active for this sensor-only test.,normal,,,55.005,0.89906,0.0,charging,5.0879,9.25,,,,,,,,,,,,,,,,,,,CRC/QPSK/OFDM,1,0,63,67,536,268,6,20,480,96,24,"p1br,seq=00007,frame_b=00067,bits=00536,qpsk=00268,ofdm=006,pad_q=00020,gap=0,ok=1","bess,seq=00007,v_mv=3837.216,i_ma=234.300,p_mw=899.060,shunt_uv=23430.000",Orin real INA226 battery charging BESS
2026-08-11T14:24:42.734887+00:00,1,,0,8,0,3839.592,234.575,900.672,bess,0,OK,No protection flag active for this sensor-only test.,normal,,,55.005,0.900672,0.0,charging,5.088,9.25,,,,,,,,,,,,,,,,,,,CRC/QPSK/OFDM,1,0,63,67,536,268,6,20,480,96,24,"p1br,seq=00008,frame_b=00067,bits=00536,qpsk=00268,ofdm=006,pad_q=00020,gap=0,ok=1","bess,seq=00008,v_mv=3839.592,i_ma=234.575,p_mw=900.672,shunt_uv=23457.500",Orin real INA226 battery charging BESS
2026-08-11T14:24:42.978124+00:00,1,,0,9,0,3839.592,234.925,902.016,bess,0,OK,No protection flag active for this sensor-only test.,normal,,,55.006,0.902016,0.0,charging,5.088,9.25,,,,,,,,,,,,,,,,,,,CRC/QPSK/OFDM,1,0,63,67,536,268,6,20,480,96,24,"p1br,seq=00009,frame_b=00067,bits=00536,qpsk=00268,ofdm=006,pad_q=00020,gap=0,ok=1","bess,seq=00009,v_mv=3839.592,i_ma=234.925,p_mw=902.016,shunt_uv=23492.500",Orin real INA226 battery charging BESS
2026-08-11T14:24:43.232351+00:00,1,,0,10,0,3837.216,233.95,897.717,bess,0,OK,No protection flag active for this sensor-only test.,normal,,,55.006,0.897717,0.0,charging,5.0881,9.25,,,,,,,,,,,,,,,,,,,CRC/QPSK/OFDM,1,0,63,67,536,268,6,20,480,96,24,"p1br,seq=00010,frame_b=00067,bits=00536,qpsk=00268,ofdm=006,pad_q=00020,gap=0,ok=1","bess,seq=00010,v_mv=3837.216,i_ma=233.950,p_mw=897.717,shunt_uv=23395.000",Orin real INA226 battery charging BESS
2026-08-11T14:24:43.486481+00:00,1,,0,11,0,3834.841,233.85,896.778,bess,0,OK,No protection flag active for this sensor-only test.,normal,,,55.007,0.896778,0.0,charging,5.0882,9.25,,,,,,,,,,,,,,,,,,,CRC/QPSK/OFDM,1,0,63,67,536,268,6,20,480,96,24,"p1br,seq=00011,frame_b=00067,bits=00536,qpsk=00268,ofdm=006,pad_q=00020,gap=0,ok=1","bess,seq=00011,v_mv=3834.841,i_ma=233.850,p_mw=896.778,shunt_uv=23385.000",Orin real INA226 battery charging BESS
2026-08-11T14:24:43.734122+00:00,1,,0,12,0,3838.404,233.825,897.515,bess,0,OK,No protection flag active for this sensor-only test.,normal,,,55.008,0.897515,0.0,charging,5.0882,9.25,,,,,,,,,,,,,,,,,,,CRC/QPSK/OFDM,1,0,63,67,536,268,6,20,480,96,24,"p1br,seq=00012,frame_b=00067,bits=00536,qpsk=00268,ofdm=006,pad_q=00020,gap=0,ok=1","bess,seq=00012,v_mv=3838.404,i_ma=233.825,p_mw=897.515,shunt_uv=23382.500",Orin real INA226 battery charging BESS
2026-08-11T14:24:43.986738+00:00,1,,0,13,0,3839.592,233.775,897.601,bess,0,OK,No protection flag active for this sensor-only test.,normal,,,55.008,0.897601,0.0,charging,5.0883,9.25,,,,,,,,,,,,,,,,,,,CRC/QPSK/OFDM,1,0,63,67,536,268,6,20,480,96,24,"p1br,seq=00013,frame_b=00067,bits=00536,qpsk=00268,ofdm=006,pad_q=00020,gap=0,ok=1","bess,seq=00013,v_mv=3839.592,i_ma=233.775,p_mw=897.601,shunt_uv=23377.500",Orin real INA226 battery charging BESS
2026-08-11T14:24:44.328147+00:00,1,,0,14,0,3838.404,234.55,900.298,bess,0,OK,No protection flag active for this sensor-only test.,normal,,,55.009,0.900298,0.0,charging,5.0884,9.25,,,,,,,,,,,,,,,,,,,CRC/QPSK/OFDM,1,0,63,67,536,268,6,20,480,96,24,"p1br,seq=00014,frame_b=00067,bits=00536,qpsk=00268,ofdm=006,pad_q=00020,gap=0,ok=1","bess,seq=00014,v_mv=3838.404,i_ma=234.550,p_mw=900.298,shunt_uv=23455.000",Orin real INA226 battery charging BESS
2026-08-11T14:24:44.531892+00:00,1,,0,15,0,3838.404,234.3,899.338,bess,0,OK,No protection flag active for this sensor-only test.,normal,,,55.01,0.899338,0.0,charging,5.0884,9.25,,,,,,,,,,,,,,,,,,,CRC/QPSK/OFDM,1,0,63,67,536,268,6,20,480,96,24,"p1br,seq=00015,frame_b=00067,bits=00536,qpsk=00268,ofdm=006,pad_q=00020,gap=0,ok=1","bess,seq=00015,v_mv=3838.404,i_ma=234.300,p_mw=899.338,shunt_uv=23430.000",Orin real INA226 battery charging BESS
2026-08-11T14:24:44.745824+00:00,1,,0,16,0,3838.404,234.8,901.257,bess,0,OK,No protection flag active for this sensor-only test.,normal,,,55.01,0.901257,0.0,charging,5.0885,9.25,,,,,,,,,,,,,,,,,,,CRC/QPSK/OFDM,1,0,63,67,536,268,6,20,480,96,24,"p1br,seq=00016,frame_b=00067,bits=00536,qpsk=00268,ofdm=006,pad_q=00020,gap=0,ok=1","bess,seq=00016,v_mv=3838.404,i_ma=234.800,p_mw=901.257,shunt_uv=23480.000",Orin real INA226 battery charging BESS
