received_utc,valid,error,seq_gap,seq,d_pct,v_mv,i_ma,p_mw,mppt,fault,fault_label,fault_reason,fault_severity,chk,computed_chk,bess_soc_pct,bess_power_w,bess_load_w,bess_state,bess_energy_wh,bess_capacity_wh,tracker_state,tracker_pan_deg,tracker_tilt_deg,tracker_sun_pan_deg,tracker_sun_tilt_deg,tracker_error_deg,tracker_servo_enabled,vision_mode,vision_detected,vision_confidence,vision_target_x_px,vision_target_y_px,vision_x_error,vision_y_error,vision_frame_w,vision_frame_h,vision_brightness_max,vision_area_px,comm_layer,comm_frame_ok,comm_bridge_gap,comm_payload_bytes,comm_frame_bytes,comm_frame_bits,comm_qpsk_symbols,comm_ofdm_symbols,comm_pad_q,comm_tx_samples,comm_cp_samples,comm_pilot_bins,comm_status_line,raw_line,source_label
2026-08-10T07:56:03.524438+00:00,1,,0,0,50,62.0,0.062,0.003844,trk,0,Standby,Shading detection waits for a locked tracker and positive power.,normal,,,55.0,0.0,0.0,idle,27.5,50.0,track-pan,90.0,90.0,42.434,60.047,56.211,1,,,,,,,,,,,,CRC/QPSK/OFDM,1,0,129,133,1064,532,12,44,960,192,48,"p1br,seq=00000,frame_b=00133,bits=01064,qpsk=00532,ofdm=012,pad_q=00044,gap=0,ok=1","ldrtrk,seq=00000,pan=090.00,tilt=090.00,sun_pan=042.43,sun_tilt=060.05,err=56.21,state=track-pan",Orin final real four-LDR solar tracker
2026-08-10T07:56:03.921225+00:00,1,,0,1,48,62.0,0.062,0.003844,trk,0,Standby,Shading detection waits for a locked tracker and positive power.,normal,,,55.0,0.0,0.0,idle,27.5,50.0,track-pan,87.0,90.0,42.297,59.944,53.867,1,,,,,,,,,,,,CRC/QPSK/OFDM,1,0,129,133,1064,532,12,44,960,192,48,"p1br,seq=00001,frame_b=00133,bits=01064,qpsk=00532,ofdm=012,pad_q=00044,gap=0,ok=1","ldrtrk,seq=00001,pan=087.00,tilt=090.00,sun_pan=042.30,sun_tilt=059.94,err=53.87,state=track-pan",Orin final real four-LDR solar tracker
2026-08-10T07:56:04.430063+00:00,1,,0,2,46,62.0,0.062,0.003844,trk,0,Standby,Shading detection waits for a locked tracker and positive power.,normal,,,55.0,0.0,0.0,idle,27.5,50.0,track-pan,84.0,90.0,42.298,59.86,51.453,1,,,,,,,,,,,,CRC/QPSK/OFDM,1,0,129,133,1064,532,12,44,960,192,48,"p1br,seq=00002,frame_b=00133,bits=01064,qpsk=00532,ofdm=012,pad_q=00044,gap=0,ok=1","ldrtrk,seq=00002,pan=084.00,tilt=090.00,sun_pan=042.30,sun_tilt=059.86,err=51.45,state=track-pan",Orin final real four-LDR solar tracker
2026-08-10T07:56:04.940635+00:00,1,,0,3,44,62.0,0.062,0.003844,trk,0,Standby,Shading detection waits for a locked tracker and positive power.,normal,,,55.0,0.0,0.0,idle,27.5,50.0,track-pan,81.0,90.0,45.916,63.969,43.687,1,,,,,,,,,,,,CRC/QPSK/OFDM,1,0,129,133,1064,532,12,44,960,192,48,"p1br,seq=00003,frame_b=00133,bits=01064,qpsk=00532,ofdm=012,pad_q=00044,gap=0,ok=1","ldrtrk,seq=00003,pan=081.00,tilt=090.00,sun_pan=045.92,sun_tilt=063.97,err=43.69,state=track-pan",Orin final real four-LDR solar tracker
2026-08-10T07:56:05.435675+00:00,1,,0,4,42,58.0,0.058,0.003364,trk,0,Standby,Shading detection waits for a locked tracker and positive power.,normal,,,55.0,0.0,0.0,idle,27.5,50.0,track-pan,78.0,90.0,45.323,64.927,41.187,1,,,,,,,,,,,,CRC/QPSK/OFDM,1,0,129,133,1064,532,12,44,960,192,48,"p1br,seq=00004,frame_b=00133,bits=01064,qpsk=00532,ofdm=012,pad_q=00044,gap=0,ok=1","ldrtrk,seq=00004,pan=078.00,tilt=090.00,sun_pan=045.32,sun_tilt=064.93,err=41.19,state=track-pan",Orin final real four-LDR solar tracker
2026-08-10T07:56:05.947759+00:00,1,,0,5,41,62.0,0.062,0.003844,trk,0,Standby,Shading detection waits for a locked tracker and positive power.,normal,,,55.0,0.0,0.0,idle,27.5,50.0,track-pan,75.0,90.0,45.219,64.45,39.239,1,,,,,,,,,,,,CRC/QPSK/OFDM,1,0,129,133,1064,532,12,44,960,192,48,"p1br,seq=00005,frame_b=00133,bits=01064,qpsk=00532,ofdm=012,pad_q=00044,gap=0,ok=1","ldrtrk,seq=00005,pan=075.00,tilt=090.00,sun_pan=045.22,sun_tilt=064.45,err=39.24,state=track-pan",Orin final real four-LDR solar tracker
2026-08-10T07:56:06.443873+00:00,1,,0,6,39,58.0,0.058,0.003364,trk,0,Standby,Shading detection waits for a locked tracker and positive power.,normal,,,55.0,0.0,0.0,idle,27.5,50.0,track-pan,72.0,90.0,44.759,64.189,37.527,1,,,,,,,,,,,,CRC/QPSK/OFDM,1,0,129,133,1064,532,12,44,960,192,48,"p1br,seq=00006,frame_b=00133,bits=01064,qpsk=00532,ofdm=012,pad_q=00044,gap=0,ok=1","ldrtrk,seq=00006,pan=072.00,tilt=090.00,sun_pan=044.76,sun_tilt=064.19,err=37.53,state=track-pan",Orin final real four-LDR solar tracker
2026-08-10T07:56:06.956343+00:00,1,,0,7,37,62.0,0.062,0.003844,trk,0,Standby,Shading detection waits for a locked tracker and positive power.,normal,,,55.0,0.0,0.0,idle,27.5,50.0,track-pan,69.0,90.0,45.641,63.923,35.009,1,,,,,,,,,,,,CRC/QPSK/OFDM,1,0,129,133,1064,532,12,44,960,192,48,"p1br,seq=00007,frame_b=00133,bits=01064,qpsk=00532,ofdm=012,pad_q=00044,gap=0,ok=1","ldrtrk,seq=00007,pan=069.00,tilt=090.00,sun_pan=045.64,sun_tilt=063.92,err=35.01,state=track-pan",Orin final real four-LDR solar tracker
2026-08-10T07:56:07.450949+00:00,1,,0,8,35,62.0,0.062,0.003844,trk,0,Standby,Shading detection waits for a locked tracker and positive power.,normal,,,55.0,0.0,0.0,idle,27.5,50.0,track-pan,66.0,90.0,45.387,63.768,33.362,1,,,,,,,,,,,,CRC/QPSK/OFDM,1,0,129,133,1064,532,12,44,960,192,48,"p1br,seq=00008,frame_b=00133,bits=01064,qpsk=00532,ofdm=012,pad_q=00044,gap=0,ok=1","ldrtrk,seq=00008,pan=066.00,tilt=090.00,sun_pan=045.39,sun_tilt=063.77,err=33.36,state=track-pan",Orin final real four-LDR solar tracker
2026-08-10T07:56:07.961329+00:00,1,,0,9,33,62.0,0.062,0.003844,trk,0,Standby,Shading detection waits for a locked tracker and positive power.,normal,,,55.0,0.0,0.0,idle,27.5,50.0,track-pan,63.0,90.0,45.547,63.839,31.449,1,,,,,,,,,,,,CRC/QPSK/OFDM,1,0,129,133,1064,532,12,44,960,192,48,"p1br,seq=00009,frame_b=00133,bits=01064,qpsk=00532,ofdm=012,pad_q=00044,gap=0,ok=1","ldrtrk,seq=00009,pan=063.00,tilt=090.00,sun_pan=045.55,sun_tilt=063.84,err=31.45,state=track-pan",Orin final real four-LDR solar tracker
