received_utc,valid,error,seq_gap,seq,d_pct,v_mv,i_ma,p_mw,mppt,fault,chk,computed_chk,bess_soc_pct,bess_power_w,bess_load_w,bess_state,bess_energy_wh,bess_capacity_wh,tracker_state,tracker_pan_deg,tracker_tilt_deg,tracker_sun_pan_deg,tracker_sun_tilt_deg,tracker_error_deg,tracker_servo_enabled,vision_mode,vision_detected,vision_confidence,vision_target_x_px,vision_target_y_px,vision_x_error,vision_y_error,vision_frame_w,vision_frame_h,vision_brightness_max,vision_area_px,comm_layer,comm_frame_ok,comm_bridge_gap,comm_payload_bytes,comm_frame_bytes,comm_frame_bits,comm_qpsk_symbols,comm_ofdm_symbols,comm_pad_q,comm_tx_samples,comm_cp_samples,comm_pilot_bins,comm_status_line,raw_line,source_label
2026-08-10T06:54:04.532590+00:00,1,,0,0,50,58.0,0.058,0.003364,trk,0,,,55.0,0.0,0.0,idle,27.5,50.0,track-pan,90.0,90.0,43.029,60.764,55.327,0,,,,,,,,,,,,CRC/QPSK/OFDM,1,0,129,133,1064,532,12,44,960,192,48,"p1br,seq=00000,frame_b=00133,bits=01064,qpsk=00532,ofdm=012,pad_q=00044,gap=0,ok=1","ldrtrk,seq=00000,pan=090.00,tilt=090.00,sun_pan=043.03,sun_tilt=060.76,err=55.33,state=track-pan",Orin real four-LDR solar tracker
2026-08-10T06:54:05.043633+00:00,1,,0,1,48,58.0,0.058,0.003364,trk,0,,,55.0,0.0,0.0,idle,27.5,50.0,track-pan,87.0,90.0,43.146,61.774,52.152,0,,,,,,,,,,,,CRC/QPSK/OFDM,1,0,129,133,1064,532,12,44,960,192,48,"p1br,seq=00001,frame_b=00133,bits=01064,qpsk=00532,ofdm=012,pad_q=00044,gap=0,ok=1","ldrtrk,seq=00001,pan=087.00,tilt=090.00,sun_pan=043.15,sun_tilt=061.77,err=52.15,state=track-pan",Orin real four-LDR solar tracker
2026-08-10T06:54:05.551072+00:00,1,,0,2,46,58.0,0.058,0.003364,trk,0,,,55.0,0.0,0.0,idle,27.5,50.0,track-pan,84.0,90.0,43.315,61.814,49.494,0,,,,,,,,,,,,CRC/QPSK/OFDM,1,0,129,133,1064,532,12,44,960,192,48,"p1br,seq=00002,frame_b=00133,bits=01064,qpsk=00532,ofdm=012,pad_q=00044,gap=0,ok=1","ldrtrk,seq=00002,pan=084.00,tilt=090.00,sun_pan=043.32,sun_tilt=061.81,err=49.49,state=track-pan",Orin real four-LDR solar tracker
2026-08-10T06:54:06.047205+00:00,1,,0,3,44,58.0,0.058,0.003364,trk,0,,,55.0,0.0,0.0,idle,27.5,50.0,track-pan,81.0,90.0,42.743,60.508,48.305,0,,,,,,,,,,,,CRC/QPSK/OFDM,1,0,129,133,1064,532,12,44,960,192,48,"p1br,seq=00003,frame_b=00133,bits=01064,qpsk=00532,ofdm=012,pad_q=00044,gap=0,ok=1","ldrtrk,seq=00003,pan=081.00,tilt=090.00,sun_pan=042.74,sun_tilt=060.51,err=48.30,state=track-pan",Orin real four-LDR solar tracker
2026-08-10T06:54:06.559110+00:00,1,,0,4,42,62.0,0.062,0.003844,trk,0,,,55.0,0.0,0.0,idle,27.5,50.0,track-pan,78.0,90.0,42.491,60.35,46.26,0,,,,,,,,,,,,CRC/QPSK/OFDM,1,0,129,133,1064,532,12,44,960,192,48,"p1br,seq=00004,frame_b=00133,bits=01064,qpsk=00532,ofdm=012,pad_q=00044,gap=0,ok=1","ldrtrk,seq=00004,pan=078.00,tilt=090.00,sun_pan=042.49,sun_tilt=060.35,err=46.26,state=track-pan",Orin real four-LDR solar tracker
2026-08-10T06:54:07.053482+00:00,1,,0,5,41,58.0,0.058,0.003364,trk,0,,,55.0,0.0,0.0,idle,27.5,50.0,track-pan,75.0,90.0,42.425,59.848,44.388,0,,,,,,,,,,,,CRC/QPSK/OFDM,1,0,129,133,1064,532,12,44,960,192,48,"p1br,seq=00005,frame_b=00133,bits=01064,qpsk=00532,ofdm=012,pad_q=00044,gap=0,ok=1","ldrtrk,seq=00005,pan=075.00,tilt=090.00,sun_pan=042.42,sun_tilt=059.85,err=44.39,state=track-pan",Orin real four-LDR solar tracker
2026-08-10T06:54:07.566334+00:00,1,,0,6,39,58.0,0.058,0.003364,trk,0,,,55.0,0.0,0.0,idle,27.5,50.0,track-pan,72.0,90.0,42.609,59.689,42.221,0,,,,,,,,,,,,CRC/QPSK/OFDM,1,0,129,133,1064,532,12,44,960,192,48,"p1br,seq=00006,frame_b=00133,bits=01064,qpsk=00532,ofdm=012,pad_q=00044,gap=0,ok=1","ldrtrk,seq=00006,pan=072.00,tilt=090.00,sun_pan=042.61,sun_tilt=059.69,err=42.22,state=track-pan",Orin real four-LDR solar tracker
2026-08-10T06:54:08.076498+00:00,1,,0,7,37,58.0,0.058,0.003364,trk,0,,,55.0,0.0,0.0,idle,27.5,50.0,track-pan,69.0,90.0,42.469,60.261,39.854,0,,,,,,,,,,,,CRC/QPSK/OFDM,1,0,129,133,1064,532,12,44,960,192,48,"p1br,seq=00007,frame_b=00133,bits=01064,qpsk=00532,ofdm=012,pad_q=00044,gap=0,ok=1","ldrtrk,seq=00007,pan=069.00,tilt=090.00,sun_pan=042.47,sun_tilt=060.26,err=39.85,state=track-pan",Orin real four-LDR solar tracker
2026-08-10T06:54:08.571848+00:00,1,,0,8,35,58.0,0.058,0.003364,trk,0,,,55.0,0.0,0.0,idle,27.5,50.0,track-pan,66.0,90.0,42.331,59.723,38.431,0,,,,,,,,,,,,CRC/QPSK/OFDM,1,0,129,133,1064,532,12,44,960,192,48,"p1br,seq=00008,frame_b=00133,bits=01064,qpsk=00532,ofdm=012,pad_q=00044,gap=0,ok=1","ldrtrk,seq=00008,pan=066.00,tilt=090.00,sun_pan=042.33,sun_tilt=059.72,err=38.43,state=track-pan",Orin real four-LDR solar tracker
2026-08-10T06:54:09.082847+00:00,1,,0,9,33,58.0,0.058,0.003364,trk,0,,,55.0,0.0,0.0,idle,27.5,50.0,track-pan,63.0,90.0,42.539,60.115,36.218,0,,,,,,,,,,,,CRC/QPSK/OFDM,1,0,129,133,1064,532,12,44,960,192,48,"p1br,seq=00009,frame_b=00133,bits=01064,qpsk=00532,ofdm=012,pad_q=00044,gap=0,ok=1","ldrtrk,seq=00009,pan=063.00,tilt=090.00,sun_pan=042.54,sun_tilt=060.12,err=36.22,state=track-pan",Orin real four-LDR solar tracker
