received_utc,valid,error,seq_gap,seq,d_pct,v_mv,i_ma,p_mw,mppt,fault,chk,computed_chk,bess_soc_pct,bess_power_w,bess_load_w,bess_state,bess_energy_wh,bess_capacity_wh,tracker_state,tracker_pan_deg,tracker_tilt_deg,tracker_sun_pan_deg,tracker_sun_tilt_deg,tracker_error_deg,tracker_servo_enabled,vision_mode,vision_detected,vision_confidence,vision_target_x_px,vision_target_y_px,vision_x_error,vision_y_error,vision_frame_w,vision_frame_h,vision_brightness_max,vision_area_px,comm_layer,comm_frame_ok,comm_bridge_gap,comm_payload_bytes,comm_frame_bytes,comm_frame_bits,comm_qpsk_symbols,comm_ofdm_symbols,comm_pad_q,comm_tx_samples,comm_cp_samples,comm_pilot_bins,comm_status_line,raw_line,source_label
2026-08-10T06:56:39.290236+00:00,1,,0,0,50,62.0,0.062,0.003844,trk,0,,,55.0,0.0,0.0,idle,27.5,50.0,track-pan,90.0,90.0,43.154,58.344,56.539,1,,,,,,,,,,,,CRC/QPSK/OFDM,1,0,129,133,1064,532,12,44,960,192,48,"p1br,seq=00000,frame_b=00133,bits=01064,qpsk=00532,ofdm=012,pad_q=00044,gap=0,ok=1","ldrtrk,seq=00000,pan=090.00,tilt=090.00,sun_pan=043.15,sun_tilt=058.34,err=56.54,state=track-pan",Orin real four-LDR servo tracker
2026-08-10T06:56:39.543698+00:00,1,,0,1,48,58.0,0.058,0.003364,trk,0,,,55.0,0.0,0.0,idle,27.5,50.0,track-pan,87.0,90.0,42.497,56.617,55.632,1,,,,,,,,,,,,CRC/QPSK/OFDM,1,0,129,133,1064,532,12,44,960,192,48,"p1br,seq=00001,frame_b=00133,bits=01064,qpsk=00532,ofdm=012,pad_q=00044,gap=0,ok=1","ldrtrk,seq=00001,pan=087.00,tilt=090.00,sun_pan=042.50,sun_tilt=056.62,err=55.63,state=track-pan",Orin real four-LDR servo tracker
2026-08-10T06:56:40.036052+00:00,1,,0,2,46,62.0,0.062,0.003844,trk,0,,,55.0,0.0,0.0,idle,27.5,50.0,track-pan,84.0,90.0,42.411,56.116,53.645,1,,,,,,,,,,,,CRC/QPSK/OFDM,1,0,129,133,1064,532,12,44,960,192,48,"p1br,seq=00002,frame_b=00133,bits=01064,qpsk=00532,ofdm=012,pad_q=00044,gap=0,ok=1","ldrtrk,seq=00002,pan=084.00,tilt=090.00,sun_pan=042.41,sun_tilt=056.12,err=53.64,state=track-pan",Orin real four-LDR servo tracker
2026-08-10T06:56:40.546689+00:00,1,,0,3,44,62.0,0.062,0.003844,trk,0,,,55.0,0.0,0.0,idle,27.5,50.0,track-pan,81.0,90.0,42.539,56.426,51.054,1,,,,,,,,,,,,CRC/QPSK/OFDM,1,0,129,133,1064,532,12,44,960,192,48,"p1br,seq=00003,frame_b=00133,bits=01064,qpsk=00532,ofdm=012,pad_q=00044,gap=0,ok=1","ldrtrk,seq=00003,pan=081.00,tilt=090.00,sun_pan=042.54,sun_tilt=056.43,err=51.05,state=track-pan",Orin real four-LDR servo tracker
2026-08-10T06:56:41.043647+00:00,1,,0,4,42,58.0,0.058,0.003364,trk,0,,,55.0,0.0,0.0,idle,27.5,50.0,track-pan,78.0,90.0,42.407,56.546,48.847,1,,,,,,,,,,,,CRC/QPSK/OFDM,1,0,129,133,1064,532,12,44,960,192,48,"p1br,seq=00004,frame_b=00133,bits=01064,qpsk=00532,ofdm=012,pad_q=00044,gap=0,ok=1","ldrtrk,seq=00004,pan=078.00,tilt=090.00,sun_pan=042.41,sun_tilt=056.55,err=48.85,state=track-pan",Orin real four-LDR servo tracker
2026-08-10T06:56:41.555479+00:00,1,,0,5,41,62.0,0.062,0.003844,trk,0,,,55.0,0.0,0.0,idle,27.5,50.0,track-pan,75.0,90.0,42.402,56.065,47.056,1,,,,,,,,,,,,CRC/QPSK/OFDM,1,0,129,133,1064,532,12,44,960,192,48,"p1br,seq=00005,frame_b=00133,bits=01064,qpsk=00532,ofdm=012,pad_q=00044,gap=0,ok=1","ldrtrk,seq=00005,pan=075.00,tilt=090.00,sun_pan=042.40,sun_tilt=056.06,err=47.06,state=track-pan",Orin real four-LDR servo tracker
2026-08-10T06:56:42.051500+00:00,1,,0,6,39,62.0,0.062,0.003844,trk,0,,,55.0,0.0,0.0,idle,27.5,50.0,track-pan,72.0,90.0,41.836,56.025,45.433,1,,,,,,,,,,,,CRC/QPSK/OFDM,1,0,129,133,1064,532,12,44,960,192,48,"p1br,seq=00006,frame_b=00133,bits=01064,qpsk=00532,ofdm=012,pad_q=00044,gap=0,ok=1","ldrtrk,seq=00006,pan=072.00,tilt=090.00,sun_pan=041.84,sun_tilt=056.02,err=45.43,state=track-pan",Orin real four-LDR servo tracker
2026-08-10T06:56:42.561823+00:00,1,,0,7,37,62.0,0.062,0.003844,trk,0,,,55.0,0.0,0.0,idle,27.5,50.0,track-pan,69.0,90.0,41.789,56.336,43.286,1,,,,,,,,,,,,CRC/QPSK/OFDM,1,0,129,133,1064,532,12,44,960,192,48,"p1br,seq=00007,frame_b=00133,bits=01064,qpsk=00532,ofdm=012,pad_q=00044,gap=0,ok=1","ldrtrk,seq=00007,pan=069.00,tilt=090.00,sun_pan=041.79,sun_tilt=056.34,err=43.29,state=track-pan",Orin real four-LDR servo tracker
2026-08-10T06:56:43.073399+00:00,1,,0,8,35,62.0,0.062,0.003844,trk,0,,,55.0,0.0,0.0,idle,27.5,50.0,track-pan,66.0,90.0,42.045,56.198,41.43,1,,,,,,,,,,,,CRC/QPSK/OFDM,1,0,129,133,1064,532,12,44,960,192,48,"p1br,seq=00008,frame_b=00133,bits=01064,qpsk=00532,ofdm=012,pad_q=00044,gap=0,ok=1","ldrtrk,seq=00008,pan=066.00,tilt=090.00,sun_pan=042.05,sun_tilt=056.20,err=41.43,state=track-pan",Orin real four-LDR servo tracker
2026-08-10T06:56:43.569729+00:00,1,,0,9,33,62.0,0.062,0.003844,trk,0,,,55.0,0.0,0.0,idle,27.5,50.0,track-pan,63.0,90.0,41.933,56.83,39.295,1,,,,,,,,,,,,CRC/QPSK/OFDM,1,0,129,133,1064,532,12,44,960,192,48,"p1br,seq=00009,frame_b=00133,bits=01064,qpsk=00532,ofdm=012,pad_q=00044,gap=0,ok=1","ldrtrk,seq=00009,pan=063.00,tilt=090.00,sun_pan=041.93,sun_tilt=056.83,err=39.29,state=track-pan",Orin real four-LDR servo tracker
2026-08-10T06:56:44.080204+00:00,1,,0,10,31,62.0,0.062,0.003844,trk,0,,,55.0,0.0,0.0,idle,27.5,50.0,track-pan,60.0,90.0,41.917,56.926,37.694,1,,,,,,,,,,,,CRC/QPSK/OFDM,1,0,129,133,1064,532,12,44,960,192,48,"p1br,seq=00010,frame_b=00133,bits=01064,qpsk=00532,ofdm=012,pad_q=00044,gap=0,ok=1","ldrtrk,seq=00010,pan=060.00,tilt=090.00,sun_pan=041.92,sun_tilt=056.93,err=37.69,state=track-pan",Orin real four-LDR servo tracker
2026-08-10T06:56:44.575720+00:00,1,,0,11,29,62.0,0.062,0.003844,trk,0,,,55.0,0.0,0.0,idle,27.5,50.0,track-pan,57.0,90.0,42.127,56.556,36.602,1,,,,,,,,,,,,CRC/QPSK/OFDM,1,0,129,133,1064,532,12,44,960,192,48,"p1br,seq=00011,frame_b=00133,bits=01064,qpsk=00532,ofdm=012,pad_q=00044,gap=0,ok=1","ldrtrk,seq=00011,pan=057.00,tilt=090.00,sun_pan=042.13,sun_tilt=056.56,err=36.60,state=track-pan",Orin real four-LDR servo tracker
2026-08-10T06:56:45.087454+00:00,1,,0,12,28,67.0,0.067,0.004489,trk,0,,,55.0,0.0,0.0,idle,27.5,50.0,track-pan,54.0,90.0,41.826,56.328,35.805,1,,,,,,,,,,,,CRC/QPSK/OFDM,1,0,129,133,1064,532,12,44,960,192,48,"p1br,seq=00012,frame_b=00133,bits=01064,qpsk=00532,ofdm=012,pad_q=00044,gap=0,ok=1","ldrtrk,seq=00012,pan=054.00,tilt=090.00,sun_pan=041.83,sun_tilt=056.33,err=35.81,state=track-pan",Orin real four-LDR servo tracker
2026-08-10T06:56:45.598181+00:00,1,,0,13,26,67.0,0.067,0.004489,trk,0,,,55.0,0.0,0.0,idle,27.5,50.0,track-pan,51.0,90.0,41.931,56.588,34.621,1,,,,,,,,,,,,CRC/QPSK/OFDM,1,0,129,133,1064,532,12,44,960,192,48,"p1br,seq=00013,frame_b=00133,bits=01064,qpsk=00532,ofdm=012,pad_q=00044,gap=0,ok=1","ldrtrk,seq=00013,pan=051.00,tilt=090.00,sun_pan=041.93,sun_tilt=056.59,err=34.62,state=track-pan",Orin real four-LDR servo tracker
2026-08-10T06:56:46.093420+00:00,1,,0,14,24,62.0,0.062,0.003844,trk,0,,,55.0,0.0,0.0,idle,27.5,50.0,track-pan,48.0,90.0,41.711,56.178,34.402,1,,,,,,,,,,,,CRC/QPSK/OFDM,1,0,129,133,1064,532,12,44,960,192,48,"p1br,seq=00014,frame_b=00133,bits=01064,qpsk=00532,ofdm=012,pad_q=00044,gap=0,ok=1","ldrtrk,seq=00014,pan=048.00,tilt=090.00,sun_pan=041.71,sun_tilt=056.18,err=34.40,state=track-pan",Orin real four-LDR servo tracker
