timestamp_utc,rx_count,action,sender,seq,seq_gap,valid,error,forward_host,forward_port,raw_line
2026-08-05T05:03:37.115254+00:00,1,forward,192.168.1.30:58686,0,0,1,,127.0.0.1,5011,"trk,seq=00000,pan=090.00,tilt=091.14,sun_pan=090.00,sun_tilt=102.35,err=11.21,state=seeking,ldr=4073/4073/3587/3587"
2026-08-05T05:03:38.117004+00:00,2,forward,192.168.1.30:58686,1,0,1,,127.0.0.1,5011,"trk,seq=00001,pan=090.24,tilt=092.23,sun_pan=093.78,sun_tilt=103.23,err=11.55,state=seeking,ldr=4007/4095/3531/3646"
2026-08-05T05:03:39.118525+00:00,3,forward,192.168.1.30:58686,2,0,1,,127.0.0.1,5011,"trk,seq=00002,pan=090.69,tilt=093.26,sun_pan=097.52,sun_tilt=104.05,err=12.77,state=seeking,ldr=3933/4095/3469/3691"
2026-08-05T05:03:40.121668+00:00,4,forward,192.168.1.30:58686,3,0,1,,127.0.0.1,5011,"trk,seq=00003,pan=091.36,tilt=094.24,sun_pan=101.20,sun_tilt=104.80,err=14.43,state=seeking,ldr=3855/4095/3405/3723"
2026-08-05T05:03:41.122908+00:00,5,forward,192.168.1.30:58686,4,0,1,,127.0.0.1,5011,"trk,seq=00004,pan=092.23,tilt=095.19,sun_pan=104.79,sun_tilt=105.47,err=16.23,state=seeking,ldr=3776/4095/3341/3745"
2026-08-05T05:03:42.126754+00:00,6,forward,192.168.1.30:58686,5,0,1,,127.0.0.1,5011,"trk,seq=00005,pan=093.29,tilt=096.10,sun_pan=108.26,sun_tilt=106.07,err=17.99,state=seeking,ldr=3699/4095/3281/3760"
2026-08-05T05:03:43.126997+00:00,7,drop,192.168.1.30:58686,6,,1,,127.0.0.1,5011,"trk,seq=00006,pan=094.53,tilt=096.99,sun_pan=111.58,sun_tilt=106.60,err=19.58,state=seeking,ldr=3628/4095/3228/3770"
2026-08-05T05:03:44.129514+00:00,8,forward,192.168.1.30:58686,7,1,1,,127.0.0.1,5011,"trk,seq=00007,pan=095.91,tilt=097.85,sun_pan=114.73,sun_tilt=107.04,err=20.95,state=seeking,ldr=3563/4095/3183/3777"
2026-08-05T05:03:45.131247+00:00,9,forward_corrupt,192.168.1.30:58686,8,0,0,proxy_injected_corruption,127.0.0.1,5011,"trk,seq=00008,pan=097.43,tilt=098.68,sun_pan=117.68,sun_tilt=107.40,err=22.05,state=seeking,ldr=3507/4095/3148/3783"
2026-08-05T05:03:46.134310+00:00,10,forward,192.168.1.30:58686,9,0,1,,127.0.0.1,5011,"trk,seq=00009,pan=099.05,tilt=099.47,sun_pan=120.41,sun_tilt=107.68,err=22.88,state=seeking,ldr=3460/4095/3124/3791"
2026-08-05T05:03:47.135404+00:00,11,forward,192.168.1.30:58686,10,0,1,,127.0.0.1,5011,"trk,seq=00010,pan=100.74,tilt=100.23,sun_pan=122.89,sun_tilt=107.87,err=23.43,state=seeking,ldr=3424/4095/3112/3801"
2026-08-05T05:03:48.137267+00:00,12,forward,192.168.1.30:58686,11,0,1,,127.0.0.1,5011,"trk,seq=00011,pan=102.49,tilt=100.94,sun_pan=125.10,sun_tilt=107.98,err=23.68,state=seeking,ldr=3398/4095/3111/3814"
2026-08-05T05:03:49.139377+00:00,13,forward,192.168.1.30:58686,12,0,1,,127.0.0.1,5011,"trk,seq=00012,pan=104.26,tilt=101.59,sun_pan=127.03,sun_tilt=108.00,err=23.66,state=seeking,ldr=3383/4091/3121/3830"
2026-08-05T05:03:50.214878+00:00,14,drop,192.168.1.30:58686,13,,1,,127.0.0.1,5011,"trk,seq=00013,pan=106.02,tilt=102.18,sun_pan=128.66,sun_tilt=107.93,err=23.36,state=seeking,ldr=3379/4084/3143/3849"
