received_utc,valid,error,seq_gap,seq,d_pct,v_mv,i_ma,p_mw,mppt,fault,fault_label,fault_reason,fault_severity,chk,computed_chk,bess_soc_pct,bess_power_w,bess_load_w,bess_state,bess_energy_wh,bess_capacity_wh,tracker_state,tracker_pan_deg,tracker_tilt_deg,tracker_sun_pan_deg,tracker_sun_tilt_deg,tracker_error_deg,tracker_servo_enabled,vision_mode,vision_detected,vision_confidence,vision_target_x_px,vision_target_y_px,vision_x_error,vision_y_error,vision_frame_w,vision_frame_h,vision_brightness_max,vision_area_px,comm_layer,comm_frame_ok,comm_bridge_gap,comm_payload_bytes,comm_frame_bytes,comm_frame_bits,comm_qpsk_symbols,comm_ofdm_symbols,comm_pad_q,comm_tx_samples,comm_cp_samples,comm_pilot_bins,comm_status_line,raw_line,source_label
2026-08-11T14:46:06.644267+00:00,1,,0,0,50,53.0,0.053,0.002809,trk,0,Standby,Shading detection waits for a locked tracker and positive power.,normal,,,55.0,0.0,0.0,idle,5.0875,9.25,track-pan,90.0,90.0,37.568,55.062,63.006,1,,,,,,,,,,,,CRC/QPSK/OFDM,1,0,157,161,1288,644,14,28,1120,224,56,"p1br,seq=00000,frame_b=00161,bits=01288,qpsk=00644,ofdm=014,pad_q=00028,gap=0,ok=1","ldrtrk,seq=00000,pan=090.00,tilt=090.00,sun_pan=037.57,sun_tilt=055.06,err=63.01,state=track-pan,bv_mv=1.2,bi_ma=-0.1,bp_mw=-0.0,bs=idle",Orin unified LDR tracker and real BESS
2026-08-11T14:46:07.144616+00:00,1,,0,1,48,53.0,0.053,0.002809,trk,0,Standby,Shading detection waits for a locked tracker and positive power.,normal,,,55.0,0.0,0.0,idle,5.0875,9.25,track-pan,87.0,90.0,35.56,53.062,63.329,1,,,,,,,,,,,,CRC/QPSK/OFDM,1,0,157,161,1288,644,14,28,1120,224,56,"p1br,seq=00001,frame_b=00161,bits=01288,qpsk=00644,ofdm=014,pad_q=00028,gap=0,ok=1","ldrtrk,seq=00001,pan=087.00,tilt=090.00,sun_pan=035.56,sun_tilt=053.06,err=63.33,state=track-pan,bv_mv=0.0,bi_ma=-0.1,bp_mw=-0.0,bs=idle",Orin unified LDR tracker and real BESS
2026-08-11T14:46:07.651376+00:00,1,,0,2,46,53.0,0.053,0.002809,trk,0,Standby,Shading detection waits for a locked tracker and positive power.,normal,,,55.0,0.0,0.0,idle,5.0875,9.25,track-pan,84.0,90.0,34.596,53.81,61.241,1,,,,,,,,,,,,CRC/QPSK/OFDM,1,0,157,161,1288,644,14,28,1120,224,56,"p1br,seq=00002,frame_b=00161,bits=01288,qpsk=00644,ofdm=014,pad_q=00028,gap=0,ok=1","ldrtrk,seq=00002,pan=084.00,tilt=090.00,sun_pan=034.60,sun_tilt=053.81,err=61.24,state=track-pan,bv_mv=0.0,bi_ma=-0.1,bp_mw=-0.0,bs=idle",Orin unified LDR tracker and real BESS
2026-08-11T14:46:08.146279+00:00,1,,0,3,44,53.0,0.053,0.002809,trk,0,Standby,Shading detection waits for a locked tracker and positive power.,normal,,,55.0,0.0,0.0,idle,5.0875,9.25,track-pan,81.0,90.0,36.787,39.723,66.952,1,,,,,,,,,,,,CRC/QPSK/OFDM,1,0,157,161,1288,644,14,28,1120,224,56,"p1br,seq=00003,frame_b=00161,bits=01288,qpsk=00644,ofdm=014,pad_q=00028,gap=0,ok=1","ldrtrk,seq=00003,pan=081.00,tilt=090.00,sun_pan=036.79,sun_tilt=039.72,err=66.95,state=track-pan,bv_mv=2.4,bi_ma=-0.1,bp_mw=-0.0,bs=idle",Orin unified LDR tracker and real BESS
2026-08-11T14:46:08.659451+00:00,1,,0,4,42,53.0,0.053,0.002809,trk,0,Standby,Shading detection waits for a locked tracker and positive power.,normal,,,55.0,0.0,0.0,idle,5.0875,9.25,track-pan,78.0,90.0,36.405,48.082,59.053,1,,,,,,,,,,,,CRC/QPSK/OFDM,1,0,157,161,1288,644,14,28,1120,224,56,"p1br,seq=00004,frame_b=00161,bits=01288,qpsk=00644,ofdm=014,pad_q=00028,gap=0,ok=1","ldrtrk,seq=00004,pan=078.00,tilt=090.00,sun_pan=036.41,sun_tilt=048.08,err=59.05,state=track-pan,bv_mv=1.2,bi_ma=-0.1,bp_mw=-0.0,bs=idle",Orin unified LDR tracker and real BESS
2026-08-11T14:46:09.170075+00:00,1,,0,5,41,183.0,0.183,0.033489,trk,0,Standby,Shading detection waits for a locked tracker and positive power.,normal,,,55.0,0.0,0.0,idle,5.0875,9.25,track-pan,75.0,90.0,61.157,86.575,14.261,1,,,,,,,,,,,,CRC/QPSK/OFDM,1,0,157,161,1288,644,14,28,1120,224,56,"p1br,seq=00005,frame_b=00161,bits=01288,qpsk=00644,ofdm=014,pad_q=00028,gap=0,ok=1","ldrtrk,seq=00005,pan=075.00,tilt=090.00,sun_pan=061.16,sun_tilt=086.58,err=14.26,state=track-pan,bv_mv=1.2,bi_ma=-0.1,bp_mw=-0.0,bs=idle",Orin unified LDR tracker and real BESS
2026-08-11T14:46:09.667492+00:00,1,,0,6,39,210.0,0.21,0.0441,trk,0,Standby,Shading detection waits for a locked tracker and positive power.,normal,,,55.0,0.0,0.0,idle,5.0875,9.25,track-pan,72.0,90.0,68.783,85.808,5.284,1,,,,,,,,,,,,CRC/QPSK/OFDM,1,0,157,161,1288,644,14,28,1120,224,56,"p1br,seq=00006,frame_b=00161,bits=01288,qpsk=00644,ofdm=014,pad_q=00028,gap=0,ok=1","ldrtrk,seq=00006,pan=072.00,tilt=090.00,sun_pan=068.78,sun_tilt=085.81,err=05.28,state=track-pan,bv_mv=1.2,bi_ma=-0.1,bp_mw=-0.0,bs=idle",Orin unified LDR tracker and real BESS
2026-08-11T14:46:10.179571+00:00,1,,0,7,39,223.0,0.223,0.049729,trk,0,Standby,Shading detection waits for a locked tracker and positive power.,normal,,,55.0,0.0,0.0,idle,5.0875,9.25,track-tilt,72.0,90.0,73.533,85.961,4.32,1,,,,,,,,,,,,CRC/QPSK/OFDM,1,0,157,161,1288,644,14,28,1120,224,56,"p1br,seq=00007,frame_b=00161,bits=01288,qpsk=00644,ofdm=014,pad_q=00028,gap=0,ok=1","ldrtrk,seq=00007,pan=072.00,tilt=090.00,sun_pan=073.53,sun_tilt=085.96,err=04.32,state=track-tilt,bv_mv=0.0,bi_ma=-0.1,bp_mw=-0.0,bs=idle",Orin unified LDR tracker and real BESS
2026-08-11T14:46:10.669239+00:00,1,,0,8,39,232.0,0.232,0.053824,trk,0,Standby,Shading detection waits for a locked tracker and positive power.,normal,,,55.0,0.0,0.0,idle,5.0875,9.25,track-tilt,72.0,87.0,74.745,85.867,2.97,1,,,,,,,,,,,,CRC/QPSK/OFDM,1,0,157,161,1288,644,14,28,1120,224,56,"p1br,seq=00008,frame_b=00161,bits=01288,qpsk=00644,ofdm=014,pad_q=00028,gap=0,ok=1","ldrtrk,seq=00008,pan=072.00,tilt=087.00,sun_pan=074.75,sun_tilt=085.87,err=02.97,state=track-tilt,bv_mv=2.4,bi_ma=-0.1,bp_mw=-0.0,bs=idle",Orin unified LDR tracker and real BESS
2026-08-11T14:46:11.184895+00:00,1,,0,9,39,232.0,0.232,0.053824,trk,0,Standby,Shading detection waits for a locked tracker and positive power.,normal,,,55.0,0.0,0.0,idle,5.0875,9.25,track-tilt,72.0,85.9,74.234,85.9,2.234,1,,,,,,,,,,,,CRC/QPSK/OFDM,1,0,157,161,1288,644,14,28,1120,224,56,"p1br,seq=00009,frame_b=00161,bits=01288,qpsk=00644,ofdm=014,pad_q=00028,gap=0,ok=1","ldrtrk,seq=00009,pan=072.00,tilt=085.90,sun_pan=074.23,sun_tilt=085.90,err=02.23,state=track-tilt,bv_mv=1.2,bi_ma=-0.1,bp_mw=-0.0,bs=idle",Orin unified LDR tracker and real BESS
2026-08-11T14:46:11.691046+00:00,1,,0,10,39,227.0,0.227,0.051529,trk,0,Standby,Shading detection waits for a locked tracker and positive power.,normal,,,55.0,0.0,0.0,idle,5.0875,9.25,track-pan,72.0,85.9,73.902,85.881,1.902,1,,,,,,,,,,,,CRC/QPSK/OFDM,1,0,157,161,1288,644,14,28,1120,224,56,"p1br,seq=00010,frame_b=00161,bits=01288,qpsk=00644,ofdm=014,pad_q=00028,gap=0,ok=1","ldrtrk,seq=00010,pan=072.00,tilt=085.90,sun_pan=073.90,sun_tilt=085.88,err=01.90,state=track-pan,bv_mv=0.0,bi_ma=-0.1,bp_mw=-0.0,bs=idle",Orin unified LDR tracker and real BESS
2026-08-11T14:46:12.189762+00:00,1,,0,11,40,232.0,0.232,0.053824,trk,0,Standby,Shading detection waits for a locked tracker and positive power.,normal,,,55.0,0.0,0.0,idle,5.0875,9.25,track-pan,74.043,85.9,74.043,85.899,0.001,1,,,,,,,,,,,,CRC/QPSK/OFDM,1,0,157,161,1288,644,14,28,1120,224,56,"p1br,seq=00011,frame_b=00161,bits=01288,qpsk=00644,ofdm=014,pad_q=00028,gap=0,ok=1","ldrtrk,seq=00011,pan=074.04,tilt=085.90,sun_pan=074.04,sun_tilt=085.90,err=00.00,state=track-pan,bv_mv=0.0,bi_ma=-0.1,bp_mw=-0.0,bs=idle",Orin unified LDR tracker and real BESS
2026-08-11T14:46:12.703658+00:00,1,,0,12,40,236.0,0.236,0.055696,trk,0,Learning,Learning locked-state shading baseline (1/8).,normal,,,55.0,0.0,0.0,idle,5.0875,9.25,locked,74.043,85.9,74.562,85.817,0.526,1,,,,,,,,,,,,CRC/QPSK/OFDM,1,0,157,161,1288,644,14,28,1120,224,56,"p1br,seq=00012,frame_b=00161,bits=01288,qpsk=00644,ofdm=014,pad_q=00028,gap=0,ok=1","ldrtrk,seq=00012,pan=074.04,tilt=085.90,sun_pan=074.56,sun_tilt=085.82,err=00.53,state=locked,bv_mv=0.0,bi_ma=-0.1,bp_mw=-0.0,bs=idle",Orin unified LDR tracker and real BESS
2026-08-11T14:46:13.195033+00:00,1,,0,13,40,245.0,0.245,0.060025,trk,0,Learning,Learning locked-state shading baseline (2/8).,normal,,,55.0,0.0,0.0,idle,5.0875,9.25,locked,74.043,85.9,74.871,85.88,0.828,1,,,,,,,,,,,,CRC/QPSK/OFDM,1,0,157,161,1288,644,14,28,1120,224,56,"p1br,seq=00013,frame_b=00161,bits=01288,qpsk=00644,ofdm=014,pad_q=00028,gap=0,ok=1","ldrtrk,seq=00013,pan=074.04,tilt=085.90,sun_pan=074.87,sun_tilt=085.88,err=00.83,state=locked,bv_mv=1.2,bi_ma=-0.1,bp_mw=-0.0,bs=idle",Orin unified LDR tracker and real BESS
2026-08-11T14:46:13.711642+00:00,1,,0,14,40,245.0,0.245,0.060025,trk,0,Standby,Shading detection waits for a locked tracker and positive power.,normal,,,55.0,0.0,0.0,idle,5.0875,9.25,track-pan,74.043,85.9,75.85,86.022,1.81,1,,,,,,,,,,,,CRC/QPSK/OFDM,1,0,157,161,1288,644,14,28,1120,224,56,"p1br,seq=00014,frame_b=00161,bits=01288,qpsk=00644,ofdm=014,pad_q=00028,gap=0,ok=1","ldrtrk,seq=00014,pan=074.04,tilt=085.90,sun_pan=075.85,sun_tilt=086.02,err=01.81,state=track-pan,bv_mv=1.2,bi_ma=-0.1,bp_mw=-0.0,bs=idle",Orin unified LDR tracker and real BESS
