seq,panel_mv,tl,tr,bl,br
01603,03150,3327,3226,3500,3490
01604,03061,3334,3196,3507,3463
01605,03025,3338,3183,3507,3453
01606,03007,3333,3176,3503,3447
01607,03034,3328,3170,3500,3444
01608,03025,3321,3164,3494,3440
01609,02877,3170,2997,3388,3321
01610,02877,3153,2976,3377,3307
01611,02877,3145,2963,3369,3297
01612,02877,3143,2960,3367,3295
01613,02842,3135,2937,3366,3274
01614,02846,3141,2943,3368,3280
01615,02855,3142,2950,3369,3282
01616,02869,3140,2948,3370,3282
01617,02864,3144,2951,3373,3284
01618,02864,3145,2952,3377,3284
01619,02877,3145,2956,3376,3287
01620,02873,3147,2955,3378,3288
01621,02882,3145,2950,3374,3284
01622,02882,3155,2964,3384,3293
