timestamp_utc,seq,ldr_seq,detected,panel_mv,tl,tr,bl,br,h_error_pct,v_error_pct,pan_deg,tilt_deg,target_pan_deg,target_tilt_deg,track_error_deg,state,v_mv,i_ma,p_mw,servo_enabled,sensor_mount
2026-08-08T15:05:10.049541+00:00,0,28405,1,93,2533,2672,1070,2518,15.286073,-23.840161,90.0,90.0,57.332413,123.983892,47.138903,track-tilt,72.5,-0.025,-0.002,1,fixed
2026-08-08T15:05:10.426814+00:00,1,28406,1,98,2534,2673,1070,2528,15.375047,-23.724241,90.0,93.0,57.053805,123.924824,45.186242,track-tilt,70.0,0.0,0.0,1,fixed
2026-08-08T15:05:10.922324+00:00,2,28407,1,93,2534,2672,1068,2527,15.383291,-23.755271,90.0,96.0,57.073965,123.961453,43.196836,track-tilt,73.75,0.0,0.0,1,fixed
2026-08-08T15:05:11.433047+00:00,3,28408,1,93,2535,2673,1074,2528,15.308,-23.679818,90.0,99.0,57.119042,123.836354,41.206818,track-tilt,75.0,-0.025,-0.002,1,fixed
2026-08-08T15:05:11.928103+00:00,4,28409,1,98,2534,2673,1068,2524,15.364685,-23.804892,90.0,102.0,57.160089,123.999336,39.527592,track-tilt,76.25,-0.025,-0.002,1,fixed
2026-08-08T15:05:12.439789+00:00,5,28410,1,98,2534,2672,1060,2520,15.425652,-23.957248,90.0,105.0,57.223226,124.192641,37.982554,track-tilt,76.25,-0.025,-0.002,1,fixed
2026-08-08T15:05:12.950389+00:00,6,28411,1,102,2532,2672,1054,2516,15.496116,-24.073738,90.0,108.0,57.230867,124.355949,36.624216,track-tilt,80.0,0.0,0.0,1,fixed
2026-08-08T15:05:13.445445+00:00,7,28412,1,102,2535,2673,1060,2521,15.430821,-23.962309,90.0,111.0,57.219996,124.201106,35.338334,track-tilt,80.0,-0.025,-0.002,1,fixed
2026-08-08T15:05:13.956211+00:00,8,28413,1,102,2531,2672,1059,2520,15.479484,-23.942904,90.0,114.0,57.116663,124.213199,34.432881,track-tilt,81.25,0.0,0.0,1,fixed
2026-08-08T15:05:14.451407+00:00,9,28414,1,98,2536,2673,1074,2531,15.32249,-23.648854,90.0,117.0,57.060119,123.814608,33.637399,track-tilt,81.25,0.0,0.0,1,fixed
2026-08-08T15:05:14.962721+00:00,10,28415,1,102,2532,2672,1068,2518,15.326363,-23.857814,90.0,120.0,57.283136,124.027834,32.963869,track-tilt,83.75,-0.025,-0.002,1,fixed
2026-08-08T15:05:15.473586+00:00,11,28416,1,107,2535,2673,1079,2528,15.241029,-23.612757,90.0,123.0,57.15948,123.72515,32.848525,track-tilt,85.0,0.0,0.0,1,fixed
2026-08-08T15:05:15.967102+00:00,12,28417,1,107,2534,2673,1070,2528,15.375047,-23.724241,90.0,123.0,57.053805,123.924824,32.959173,track-pan,85.0,-0.025,-0.002,1,fixed
2026-08-08T15:05:16.479347+00:00,13,28418,1,107,2532,2670,1053,2521,15.537534,-24.001126,87.0,123.0,57.082317,124.309698,29.946337,track-pan,83.75,0.0,0.0,1,fixed
2026-08-08T15:05:16.989969+00:00,14,28419,1,107,2534,2672,1064,2538,15.539169,-23.661251,84.0,123.0,56.705696,123.969128,27.311504,track-pan,85.0,-0.025,-0.002,1,fixed
2026-08-08T15:05:17.485121+00:00,15,28420,1,107,2534,2673,1062,2558,15.76034,-23.429461,81.0,123.0,56.072388,123.884396,24.943296,track-pan,86.25,-0.025,-0.002,1,fixed
2026-08-08T15:05:17.996049+00:00,16,28421,1,107,2535,2672,1068,2547,15.555467,-23.496328,78.0,123.0,56.493918,123.814671,21.521507,track-pan,85.0,-0.025,-0.002,1,fixed
2026-08-08T15:05:18.491142+00:00,17,28422,1,107,2534,2672,1076,2553,15.517195,-23.299996,75.0,123.0,56.33741,123.592995,18.672009,track-pan,83.75,0.0,0.0,1,fixed
2026-08-08T15:05:19.002418+00:00,18,28423,1,107,2534,2673,1074,2543,15.460654,-23.469572,72.0,123.0,56.624982,123.72518,15.392111,track-pan,87.5,-0.025,-0.002,1,fixed
2026-08-08T15:05:19.512565+00:00,19,28424,1,107,2535,2672,1067,2535,15.457628,-23.670535,69.0,123.0,56.85416,123.92484,12.181,track-pan,86.25,-0.025,-0.002,1,fixed
2026-08-08T15:05:20.007892+00:00,20,28425,1,107,2533,2671,1061,2529,15.500077,-23.803956,66.0,123.0,56.929615,124.086775,9.135259,track-pan,86.25,0.0,0.0,1,fixed
2026-08-08T15:05:20.519045+00:00,21,28426,1,107,2532,2672,1059,2528,15.540435,-23.844345,63.0,123.0,56.905899,124.15382,6.202368,track-pan,86.25,0.0,0.0,1,fixed
