seq,panel_mv,tl,tr,bl,br
01280,02569,2671,2559,2960,3073
01281,02569,2693,2585,2977,3089
01282,02578,2701,2594,2983,3099
01283,02560,2697,2593,2979,3097
01284,02618,2739,2658,3017,3142
01285,02672,2807,2735,3074,3202
01286,02681,2819,2741,3084,3202
01287,02672,2829,2752,3091,3209
01288,02685,2832,2755,3094,3211
01289,02690,2834,2755,3098,3216
01290,02712,2858,2785,3114,3234
01291,02851,2975,2920,3196,3321
01292,02900,3033,2997,3228,3362
01293,02909,3037,3012,3230,3376
01294,02833,2936,2899,3144,3297
01295,02877,2968,2941,3168,3318
01296,02877,2969,2940,3160,3319
01297,02869,2973,2947,3156,3327
01298,02886,2986,2964,3177,3337
01299,02895,3002,2968,3188,3334
01300,02900,3008,2973,3194,3341
01301,02913,3011,2985,3198,3348
01302,02918,3019,2993,3203,3358
01303,02931,3024,3004,3210,3363
