seq,panel_mv,tl,tr,bl,br
01788,02949,3041,2919,3311,3316
01789,02927,3020,2929,3287,3320
01790,02998,2954,2924,3242,3318
01791,02998,2933,2920,3233,3321
01792,02980,2943,2906,3245,3304
01793,02976,2946,2901,3251,3306
01794,02953,2946,2880,3253,3292
01795,02953,2952,2883,3259,3294
01796,02944,2952,2885,3257,3294
01797,02949,2952,2887,3260,3296
01798,02953,2953,2885,3258,3299
01799,02944,2955,2883,3261,3299
01800,02958,2956,2887,3260,3297
01801,02949,2961,2889,3264,3300
01802,02953,2968,2905,3258,3309
01803,02953,2956,2880,3251,3284
